open,high,low,close,volume,target
203.25,203.3,203.25,203.3,1939,203.3
203.2,203.3,203.2,203.3,2729,203.25
203.4,203.4,203,203,4990,203.2
203.44,203.44,203.32,203.32,2231,203.4
203.35,203.35,203.33,203.33,690,203.44
203.42,203.42,203.35,203.35,1160,203.35
203.4,203.42,203.4,203.42,2323,203.42
203.4,203.4,203.4,203.4,491,203.4
203.43,203.43,203.4001,203.4001,1394,203.4
203.4,203.42,203.4,203.42,1017,203.43
203.4,203.4,203.33,203.4,1861,203.4
203.4,203.42,203.4,203.42,691,203.4
203.44,203.44,203.4,203.4,1293,203.4
203.42,203.44,203.42,203.4399,1590,203.44
203.42,203.42,203.42,203.42,258,203.42
203.4,203.4,203.4,203.4,998,203.42
203.48,203.48,203.48,203.48,436,203.4
203.48,203.48,203.48,203.48,623,203.48
203.42,203.5,203.42,203.5,334,203.48
203.55,203.55,203.4999,203.4999,500,203.42
203.5,203.5,203.5,203.5,346,203.55
203.5,203.5,203.4,203.5,2951,203.5
203.45,203.5,203.45,203.5,533,203.5
203.5,203.5,203.5,203.5,945,203.45
203.6,203.6,203.6,203.6,127,203.5
203.25,203.3,203.25,203.3,643,203.6
203.2,203.38,203.2,203.38,1902,203.25
203.3,203.3,203.22,203.22,1143,203.2
203.44,203.44,203.22,203.22,393,203.3
203.2,203.2,203.2,203.2,288,203.44
203.47,203.64,203.13,203.13,4859,203.2
203.55,203.62,203.5,203.5,2773,203.47
203.85,203.85,203.85,203.85,380,203.55
203.77,203.8,203.5,203.55,2478,203.85
203.85,203.85,203.76,203.76,2654,203.77
203.81,203.81,203.81,203.81,1410,203.85
203.8,203.82,203.76,203.82,1586,203.81
203.7,203.82,203.6,203.82,5387,203.8
203.81,203.81,203.8,203.8,3105,203.7
203.82,203.82,203.82,203.82,447,203.81
203.85,203.85,203.85,203.85,532,203.82
203.86,203.86,203.86,203.86,689,203.85
203.91,203.91,203.91,203.91,2012,203.86
203.97,203.97,203.97,203.97,211,203.91
203.9301,203.97,203.9301,203.97,472,203.97
203.9,203.9,203.9,203.9,571,203.9301
203.85,203.89,203.85,203.8501,547,203.9
203.9,203.9,203.9,203.9,293,203.85
203.85,203.85,203.85,203.85,616,203.9
203.83,204,203.83,204,1912,203.85
203.9,203.95,203.88,203.95,936,203.83
203.88,203.9,203.88,203.9,1133,203.9
203.87,203.87,203.87,203.87,508,203.88
203.8,203.9,203.74,203.74,4060,203.87
203.82,203.8999,203.8,203.89,2370,203.8
203.9,203.9,203.82,203.85,1167,203.82
203.9,203.9,203.8,203.8,868,203.9
203.88,203.88,203.88,203.88,2593,203.9
203.88,203.88,203.88,203.88,3202,203.88
203.85,203.85,203.81,203.81,1135,203.88
203.87,203.87,203.87,203.87,373,203.85
203.8,203.88,203.8,203.88,1381,203.87
203.8,203.8,203.8,203.8,424,203.8
203.8,203.8,203.8,203.8,344,203.8
203.8,203.8,203.8,203.8,223,203.8
203.79,203.8,203.79,203.8,1677,203.8
203.77,203.77,203.77,203.77,348,203.79
203.8,203.8,203.8,203.8,2239,203.77
203.85,203.85,203.85,203.85,461,203.8
203.84,203.84,203.84,203.84,1156,203.85
203.8,203.8,203.8,203.8,251,203.84
203.78,203.78,203.78,203.78,466,203.8
203.8,203.8,203.75,203.75,2434,203.78
203.84,203.84,203.8,203.8,423,203.8
203.8,203.8,203.8,203.8,598,203.84
203.77,203.8,203.77,203.8,748,203.8
203.88,203.88,203.88,203.88,216,203.77
203.75,203.8,203.72,203.76,1119,203.88
203.76,203.79,203.76,203.76,2148,203.75
203.8,203.83,203.78,203.78,1975,203.76
203.78,203.85,203.78,203.8,605,203.8
203.77,203.88,203.7501,203.7501,2539,203.78
203.8,203.85,203.8,203.8,1401,203.77
203.77,203.8,203.77,203.8,4023,203.8
203.75,203.77,203.75,203.77,3483,203.77
203.75,203.75,203.73,203.7301,1720,203.75
203.75,203.75,203.72,203.72,1870,203.75
203.65,203.75,203.65,203.75,3026,203.75
203.7,203.7,203.62,203.63,3185,203.65
203.73,203.73,203.64,203.65,4307,203.7
203.65,203.7,203.65,203.7,902,203.73
203.88,203.88,203.63,203.78,5183,203.65
203.8,203.95,203.8,203.85,5674,203.88
203.68,203.76,203.68,203.74,6346,203.8
203.66,203.66,203.5,203.65,5405,203.68
203.32,203.62,203.22,203.6,5417,203.66
203,203.35,203,203.35,4850,203.32
202.95,202.95,202.95,202.95,433,203
203.01,203.01,202.95,202.95,356,202.95
203,203,202.99,203,775,203.01
203.03,203.03,203,203,637,203
203.05,203.05,203,203.05,7995,203.03
203.15,203.22,203,203,3182,203.05
203.15,203.15,203.15,203.15,2464,203.15
203.15,203.15,203.15,203.15,371,203.15
203.15,203.15,203.15,203.15,1296,203.15
203.15,203.15,203.03,203.03,764,203.15
203.14,203.14,203.14,203.14,318,203.15
203.14,203.14,203.1,203.1,881,203.14
203.14,203.14,203.14,203.14,1053,203.14
203.15,203.15,203.15,203.15,487,203.14
203.14,203.14,203.14,203.14,527,203.15
203.14,203.14,203.14,203.14,318,203.14
203.22,203.22,203.14,203.14,815,203.14
203.21,203.21,203.21,203.21,433,203.22
203.21,203.21,203.21,203.21,512,203.21
203.2,203.2,203.2,203.2,642,203.21
203.14,203.2,203.14,203.2,1195,203.2
203.2,203.2,203.2,203.2,445,203.14
203.2,203.2,203.2,203.2,240,203.2
203.23,203.23,203.23,203.23,314,203.2
203.18,203.2,203.17,203.2,3091,203.23
203.17,203.17,203.17,203.17,427,203.18
203.16,203.16,203.15,203.15,864,203.17
203.16,203.16,203.16,203.16,578,203.16
203.18,203.18,203.18,203.18,213,203.16
203.16,203.17,203.15,203.17,1612,203.18
203.16,203.16,203.15,203.16,2036,203.16
203.15,203.16,203.15,203.15,1875,203.16
203.2,203.2,203.2,203.2,1564,203.15
203.23,203.23,203.2,203.2,1259,203.2
203.24,203.24,203.24,203.24,206,203.23
203.24,203.24,203.24,203.24,512,203.24
203.22,203.22,203.22,203.22,931,203.24
203.22,203.23,203.22,203.23,818,203.22
203.19,203.19,203.15,203.15,1198,203.22
203.19,203.24,203.19,203.2,1720,203.19
203.2,203.2,203.2,203.2,1398,203.19
203.16,203.16,203.15,203.15,1606,203.2
203.16,203.17,203.16,203.17,683,203.16
203.18,203.18,203.15,203.15,1136,203.16
203.15,203.15,203.15,203.15,14504,203.18
203.16,203.2,203.16,203.2,3006,203.15
203.15,203.16,203.14,203.16,1924,203.16
203.12,203.15,203.12,203.12,1712,203.15
203.12,203.13,203.12,203.13,1367,203.12
203.02,203.11,203.02,203.11,812,203.12
203.1,203.1,203.1,203.1,361,203.02
203.07,203.1,203.01,203.01,964,203.1
203.1,203.14,203.1,203.1,759,203.07
203.06,203.1,203.06,203.07,1264,203.1
203.08,203.09,203.07,203.09,1275,203.06
203.09,203.09,203.09,203.09,18691,203.08
202.96,203.14,202.96,203.09,4276,203.09
202.95,202.97,202.94,202.97,147028,202.96
202.9,202.9,202.88,202.88,1219,202.95
202.98,202.98,202.98,202.98,395,202.9
202.85,203,202.8,202.81,4413,202.98
202.9,202.9,202.88,202.88,2012,202.85
202.96,202.99,202.93,202.93,59855,202.9
203.0001,203.02,203,203,3038,202.96
203.04,203.04,203.04,203.04,816,203.0001
203.06,203.06,203.06,203.06,315,203.04
203.03,203.03,203.03,203.03,840,203.06
203,203.01,203,203.01,1939,203.03
203.02,203.02,203,203,2802,203
202.96,202.96,202.92,202.92,900,203.02
203,203,203,203,11823,202.96
202.86,202.86,202.86,202.86,451,203
202.98,203.02,202.85,202.88,3156,202.86
203.05,203.06,202.95,202.98,3140,202.98
203.1199,203.1199,203,203.06,1484,203.05
203.1998,203.2,203.1,203.14,5480,203.1199
203.17,203.2,203.17,203.2,3584,203.1998
202.92,203.18,202.92,203.05,9465,203.17
202.93,202.95,202.88,202.94,3729,202.92
202.9,202.95,202.9,202.95,1025,202.93
202.94,202.94,202.94,202.94,670,202.9
202.9,202.95,202.88,202.95,3291,202.94
202.95,202.95,202.94,202.95,1643,202.9
202.92,202.95,202.9,202.9,3524,202.95
202.91,202.92,202.88,202.92,1270,202.92
202.89,202.89,202.89,202.89,620,202.91
202.79,202.95,202.77,202.81,5721,202.89
202.77,202.77,202.72,202.77,9116,202.79
202.7001,202.75,202.7001,202.75,4140,202.77
202.8,202.8,202.75,202.78,6247,202.7001
202.78,202.8,202.77,202.8,3774,202.8
202.77,202.78,202.77,202.78,2669,202.78
202.75,202.77,202.75,202.77,9675,202.77
202.7399,202.75,202.6659,202.74,45862,202.75
202.78,202.78,202.6524,202.6524,4811,202.7399
202.8,202.8,202.75,202.78,5115,202.78
202.68,202.74,202.65,202.74,6534,202.8
202.65,202.6899,202.63,202.68,7329,202.68
202.7,202.7,202.65,202.67,5554,202.65
202.68,202.71,202.68,202.71,3250,202.7
202.8,202.8,202.69,202.71,14488,202.68
202.8,202.8,202.775,202.8,16055,202.8
202.75,202.81,202.7,202.76,12991,202.8
202.76,202.76,202.7,202.76,3513,202.75
202.65,202.79,202.47,202.78,26706,202.76
202.7,202.7,202.6,202.65,6988,202.65
202.67,202.74,202.5526,202.7,16115,202.7
202.6099,202.68,202.6099,202.68,5982,202.67
202.68,202.68,202.51,202.68,397311,202.6099
202.95,202.95,202.64,202.64,22382,202.68
202.39,203.19,202.39,203,264766,202.95
202.65,203.08,202.16,202.71,1297638,202.39
202.47,202.8303,202.41,202.65,458987,202.65
202.53,202.73,202.27,202.46,396375,202.47
202.91,202.93,202.1,202.52,457211,202.53
203.0988,203.24,202.76,202.92,480720,202.91
203.83,204,203.05,203.1,424329,203.0988
204.15,204.38,203.85,203.85,248398,203.83
204.05,204.2,204.04,204.135,168761,204.15
203.85,204.1,203.83,204.0368,177017,204.05
204.1,204.16,203.83,203.85,464740,203.85
204.2776,204.3,204.13,204.16,163977,204.1
204.12,204.36,204.12,204.27,153452,204.2776
204.46,204.48,204.03,204.12,175264,204.12
204.7099,204.73,204.43,204.45,121693,204.46
204.48,204.74,204.46,204.7,102765,204.7099
204.64,204.645,204.44,204.47,91847,204.48
204.81,204.81,204.42,204.66,95914,204.64
204.6272,204.9,204.6272,204.8,102384,204.81
204.609,204.68,204.44,204.63,103987,204.6272
204.499,204.64,204.4786,204.61,89013,204.609
204.52,204.64,204.4547,204.4738,101534,204.499
204.65,204.67,204.44,204.53,114565,204.52
205,205.04,204.62,204.67,122222,204.65
205.38,205.48,204.9,205.015,153633,205
205.78,205.82,205.36,205.4,150337,205.38
205.775,205.88,205.76,205.79,81820,205.78
205.84,205.85,205.66,205.79,99352,205.775
205.57,205.92,205.4,205.85,122943,205.84
205.46,205.61,205.41,205.5753,94150,205.57
205.06,205.5,205.06,205.487,103474,205.46
205.31,205.36,205,205.06,102003,205.06
205.25,205.36,205.2,205.3,64723,205.31
205.2905,205.31,205.1,205.24,72492,205.25
205.2101,205.37,205.2101,205.29,71248,205.2905
205.23,205.34,205.1,205.24,78837,205.2101
205.0881,205.35,204.92,205.2418,104659,205.23
205.015,205.1,204.91,205.085,61957,205.0881
204.82,205.05,204.69,205.02,90614,205.015
204.45,204.85,204.4,204.84,69722,204.82
204.5854,204.65,204.4,204.4447,53568,204.45
204.85,204.85,204.52,204.575,61865,204.5854
204.5,204.86,204.46,204.85,75831,204.85
204.57,204.65,204.47,204.5,95542,204.5
204.7799,204.81,204.521,204.59,91758,204.57
205.04,205.04,204.65,204.8,79128,204.7799
205.2,205.25,204.95,205.04,88617,205.04
205.0162,205.2,204.98,205.19,85480,205.2
204.665,205.12,204.57,205,123974,205.0162
204.65,204.84,204.5,204.66,125333,204.665
204.87,204.97,204.64,204.71,82520,204.65
204.86,204.899,204.73,204.8501,79683,204.87
204.5501,204.88,204.55,204.87,71671,204.86
204.49,207.4,204.41,204.58,61491,204.5501
204.49,204.68,204.4,204.4879,83815,204.49
204.51,204.545,204.36,204.49,60236,204.49
204.58,204.63,204.4,204.53,72176,204.51
204.74,204.85,204.59,204.59,61614,204.58
204.98,205.137,204.68,204.73,70204,204.74
205.1,205.21,204.91,204.97,79608,204.98
205.18,205.26,205.0201,205.1053,71827,205.1
205.15,205.21,205.01,205.18,84872,205.18
205.11,205.23,204.99,205.16,99380,205.15
204.5563,205.18,204.54,205.12,145455,205.11
204.24,204.569,204.22,204.55,90141,204.5563
204.13,204.26,204.11,204.25,55044,204.24
204.22,204.225,204.1,204.13,79468,204.13
204.23,204.2768,204.18,204.23,50259,204.22
204.19,204.26,204.11,204.2257,65420,204.23
204.32,204.43,204.13,204.18,80799,204.19
204.24,204.5,204.23,204.3262,65712,204.32
204.3,204.321,204.19,204.2484,97032,204.24
204.25,204.355,204.2,204.29,58549,204.3
204.321,204.321,204.19,204.22,90233,204.25
204.39,204.4,204.3,204.3175,42429,204.321
204.48,204.48,204.28,204.39,59349,204.39
204.63,204.63,204.39,204.49,51838,204.48
204.5738,204.66,204.5,204.64,53791,204.63
204.36,204.6,204.29,204.57,65197,204.5738
204.38,204.39,204.2701,204.37,45532,204.36
204.36,204.41,204.29,204.392,53514,204.38
204.305,204.41,204.25,204.37,75156,204.36
204.25,204.36,204.24,204.32,51646,204.305
204.33,204.37,204.22,204.26,41836,204.25
204.3,204.42,204.245,204.34,70041,204.33
204.52,204.58,204.26,204.27,103432,204.3
204.4,204.52,204.4,204.52,56031,204.52
204.515,204.56,204.3941,204.4,63036,204.4
204.58,204.67,204.47,204.51,64861,204.515
204.65,204.6705,204.52,204.58,59806,204.58
204.88,205.08,204.64,204.6431,95277,204.65
204.8799,204.91,204.84,204.88,54066,204.88
204.7,204.89,204.6797,204.86,58048,204.8799
204.75,204.8,204.67,204.695,46314,204.7
204.78,204.8,204.62,204.765,52923,204.75
204.825,204.85,204.71,204.77,53615,204.78
204.6201,204.84,204.58,204.816,72404,204.825
204.7,204.72,204.56,204.635,67826,204.6201
204.6,204.71,204.52,204.7,63250,204.7
204.42,204.7,204.41,204.6,67215,204.6
204.4,204.5,204.32,204.41,52624,204.42
204.496,204.55,204.27,204.41,61834,204.4
204.26,204.53,204.26,204.4852,65101,204.496
204.4233,204.4233,204.2,204.27,67139,204.26
204.3753,204.4699,204.37,204.42,42230,204.4233
204.59,204.615,204.37,204.3861,92928,204.3753
204.54,204.64,204.54,204.59,41219,204.59
204.7,204.71,204.51,204.54,52361,204.54
204.8109,204.85,204.6501,204.6984,51023,204.7
204.955,205.05,204.77,204.81,73157,204.8109
205.1,205.149,204.9301,204.96,65116,204.955
205.1,205.179,205.08,205.095,33883,205.1
205.1065,205.16,205.08,205.1,32239,205.1
205.07,205.24,205.002,205.11,66763,205.1065
204.97,205.07,204.88,205.07,44936,205.07
204.96,205.03,204.86,204.96,57868,204.97
205.14,205.19,204.95,204.98,55819,204.96
205.225,205.25,205.05,205.12,46095,205.14
204.91,205.23,204.91,205.2199,51019,205.225
204.95,205.14,204.76,204.91,84932,204.91
205.26,205.26,204.93,204.9385,68919,204.95
205.11,205.28,205.085,205.26,54993,205.26
205.065,205.1,205.01,205.1,46718,205.11
205.08,205.21,205,205.06,48145,205.065
205.06,205.16,205.06,205.07,46286,205.08
205.2368,205.26,205.03,205.06,46699,205.06
205.1,205.2757,205.09,205.2321,40739,205.2368
205.14,205.219,205.05,205.14,53501,205.1
205.11,205.28,205.09,205.15,60384,205.14
205.02,205.18,204.96,205.06,62097,205.11
204.9547,205.03,204.86,205.03,42576,205.02
204.8072,205.05,204.8,204.9401,64763,204.9547
204.63,204.79,204.63,204.79,52957,204.8072
204.89,204.94,204.6129,204.6195,71926,204.63
205.08,205.14,204.86,204.88,55704,204.89
204.89,205.1,204.84,205.07,61874,205.08
204.9101,204.9299,204.81,204.895,39612,204.89
204.76,204.91,204.755,204.91,61022,204.9101
204.85,204.8845,204.745,204.7599,62850,204.76
205.03,205.09,204.8246,204.8521,53087,204.85
205.15,205.175,205.02,205.0499,50651,205.03
205.19,205.22,205.08,205.1363,55172,205.15
205.2321,205.27,205.12,205.19,97167,205.19
205.13,205.36,205.13,205.24,88806,205.2321
205.0601,205.17,205.05,205.14,69090,205.13
204.78,205.17,204.74,205.08,111097,205.0601
204.67,204.83,204.65,204.79,67896,204.78
204.61,204.74,204.61,204.6539,59268,204.67
204.67,204.69,204.58,204.61,32959,204.61
204.62,204.72,204.55,204.68,44679,204.67
204.57,204.78,204.48,204.62,65746,204.62
204.44,204.5817,204.37,204.5817,61631,204.57
204.11,204.56,204.1,204.5,87061,204.44
204.24,204.25,204.105,204.12,50685,204.11
204.25,204.31,204.18,204.2217,54177,204.24
204.13,204.3771,204.09,204.2479,79765,204.25
204.05,204.17,204.01,204.15,63130,204.13
204.0873,204.13,204.02,204.0601,69625,204.05
204.09,204.15,204.03,204.09,63120,204.0873
204.06,204.19,204.0321,204.1,51178,204.09
204.25,204.25,204.07,204.07,72648,204.06
204.14,204.33,204.1,204.26,64936,204.25
204.12,204.19,204.11,204.13,47626,204.14
204.0894,204.13,204.03,204.1059,64758,204.12
204.2409,204.27,204.08,204.0861,69458,204.0894
204.36,204.46,204.23,204.24,67908,204.2409
204.1575,204.37,204.1575,204.36,57069,204.36
204.2028,204.26,204.1,204.16,65361,204.1575
204.285,204.315,204.19,204.2,44892,204.2028
204.1535,204.35,204.1535,204.27,72100,204.285
204.255,204.37,204.08,204.145,135605,204.1535
204.55,204.56,204.18,204.25,143867,204.255
204.54,204.64,204.51,204.5514,36933,204.55
204.6406,204.66,204.46,204.53,58705,204.54
204.62,204.67,204.55,204.67,45663,204.6406
204.5617,204.72,204.5,204.64,62086,204.62
204.6037,204.6098,204.4839,204.58,52868,204.5617
204.595,204.62,204.46,204.62,98032,204.6037
204.57,204.6395,204.5,204.59,133988,204.595
204.75,204.82,204.5,204.5873,80933,204.57
204.69,204.77,204.6,204.718,70688,204.75
204.84,204.84,204.7,204.7,49182,204.69
205,205,204.79,204.8421,38070,204.84
204.9918,205.13,204.95,205.01,55782,205
204.9807,205.01,204.86,204.9929,29226,204.9918
205.06,205.06,204.83,204.99,55264,204.9807
205.03,205.1199,204.96,205.06,40267,205.06
204.83,205.08,204.82,205.02,68026,205.03
204.67,204.83,204.65,204.83,58366,204.83
204.75,204.78,204.62,204.66,59167,204.67
204.63,204.8,204.62,204.75,52824,204.75
204.79,204.84,204.6,204.62,59422,204.63
204.8101,204.83,204.68,204.79,78629,204.79
204.93,205,204.81,204.84,64926,204.8101
204.95,205,204.88,204.92,54807,204.93
204.96,204.96,204.85,204.94,56487,204.95
204.87,204.99,204.79,204.955,63840,204.96
204.78,204.89,204.72,204.87,49729,204.87
204.87,204.87,204.74,204.78,72900,204.78
204.8755,204.95,204.8,204.86,76499,204.87
204.97,204.99,204.85,204.89,39424,204.8755
204.97,205.09,204.95,205,44971,204.97
205.04,205.04,204.9,204.99,53271,204.97
204.97,205.07,204.85,205.06,72150,205.04
205.08,205.11,204.98,204.99,56232,204.97
205.14,205.26,205,205.09,49491,205.08
205.1,205.23,205.08,205.09,51312,205.14
205.16,205.28,205.11,205.115,46244,205.1
205.07,205.24,204.98,205.18,67673,205.16
204.87,205.205,204.8,205.0521,96904,205.07
205.03,205.04,204.8701,204.881,48340,204.87
204.995,205.03,204.9,205.03,72512,205.03
205.12,205.15,204.99,204.99,100828,204.995
205.17,205.188,205.1,205.14,53991,205.12
205.26,205.29,205.15,205.18,71912,205.17
205.42,205.5,205.235,205.25,66576,205.26
205.28,205.49,205.28,205.4197,61154,205.42
205.17,205.33,205.16,205.27,56013,205.28
205.25,205.25,205.1,205.16,66724,205.17
205.25,205.37,205.23,205.23,51951,205.25
205.34,205.47,205.18,205.25,65713,205.25
205.345,205.38,205.26,205.33,44532,205.34
205.25,205.39,205.25,205.3427,66019,205.345
205.279,205.34,205.13,205.2477,55030,205.25
205.41,205.439,205.21,205.3208,68951,205.279
205.34,205.44,205.3236,205.41,43735,205.41
205.28,205.45,205.28,205.34,45345,205.34
205.46,205.54,205.22,205.28,50674,205.28
205.24,205.48,205.24,205.46,107931,205.46
205.12,205.28,205.06,205.24,55381,205.24
205.21,205.21,205.085,205.13,73722,205.12
205.38,205.38,205.2,205.222,69617,205.21
205.43,205.52,205.32,205.4,67489,205.38
205.29,205.47,205.26,205.44,41468,205.43
205.01,205.45,204.97,205.305,73489,205.29
205.1,205.19,204.9511,205,110645,205.01
205.17,205.27,205.01,205.0999,81666,205.1
205.15,205.24,205.05,205.16,56705,205.17
205.1,205.36,205.1,205.16,43727,205.15
205.2,205.3198,205.1,205.13,66635,205.1
205.26,205.52,205.12,205.16,88759,205.2
205.72,205.8061,205.265,205.265,90459,205.26
205.7858,205.88,205.48,205.74,101052,205.72
205.5,205.8,205.49,205.78,83121,205.7858
205.5,205.51,205.36,205.5,53951,205.5
205.59,205.62,205.435,205.5,68759,205.5
205.75,205.82,205.6,205.628,75151,205.59
205.65,205.79,205.615,205.75,68470,205.75
205.4753,205.67,205.419,205.64,79573,205.65
205.375,205.65,205.34,205.5,76285,205.4753
205.41,205.4699,205.1043,205.37,108019,205.375
205.7683,205.805,205.3507,205.43,125780,205.41
205.73,205.83,205.69,205.7744,73730,205.7683
205.82,205.87,205.71,205.74,95728,205.73
205.56,205.8615,205.56,205.83,93136,205.82
205.51,205.74,205.49,205.56,81626,205.56
205.46,205.6,205.45,205.52,84698,205.51
205.4,205.51,205.4,205.47,83114,205.46
205.28,205.5,205.24,205.4215,102006,205.4
205.13,205.36,205.08,205.3062,103196,205.28
204.95,205.15,204.76,205.15,86520,205.13
204.84,205.07,204.81,204.9801,77765,204.95
204.66,204.9,204.66,204.88,63789,204.84
204.7899,204.7899,204.64,204.69,73091,204.66
