open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
3.2800,3.2800,3.2600,3.2600,352,3.2800,3.2800,3.2800,3.2800,769,3.2700,3.2700,3.2700,3.2700,100,3.2800,3.2800,3.2600,3.2700,1518,3.2700,3.2700,3.2600,3.2600,2755,3.2600,3.2600,3.2600,3.2600,199,3.2500,3.2500,3.2500,3.2500,1000,3.2700,3.2700,3.2700,3.2700,100,3.2500,3.2500,3.2500,3.2500,5045,3.2500,3.2500,3.2500,3.2500,100,3.2700
3.2800,3.2800,3.2800,3.2800,769,3.2700,3.2700,3.2700,3.2700,100,3.2800,3.2800,3.2600,3.2700,1518,3.2700,3.2700,3.2600,3.2600,2755,3.2600,3.2600,3.2600,3.2600,199,3.2500,3.2500,3.2500,3.2500,1000,3.2700,3.2700,3.2700,3.2700,100,3.2500,3.2500,3.2500,3.2500,5045,3.2500,3.2500,3.2500,3.2500,100,3.2600,3.2600,3.2600,3.2600,1050,3.2800
3.2700,3.2700,3.2700,3.2700,100,3.2800,3.2800,3.2600,3.2700,1518,3.2700,3.2700,3.2600,3.2600,2755,3.2600,3.2600,3.2600,3.2600,199,3.2500,3.2500,3.2500,3.2500,1000,3.2700,3.2700,3.2700,3.2700,100,3.2500,3.2500,3.2500,3.2500,5045,3.2500,3.2500,3.2500,3.2500,100,3.2600,3.2600,3.2600,3.2600,1050,3.2500,3.2500,3.2500,3.2500,112,3.2800
3.2800,3.2800,3.2600,3.2700,1518,3.2700,3.2700,3.2600,3.2600,2755,3.2600,3.2600,3.2600,3.2600,199,3.2500,3.2500,3.2500,3.2500,1000,3.2700,3.2700,3.2700,3.2700,100,3.2500,3.2500,3.2500,3.2500,5045,3.2500,3.2500,3.2500,3.2500,100,3.2600,3.2600,3.2600,3.2600,1050,3.2500,3.2500,3.2500,3.2500,112,3.2500,3.2500,3.2400,3.2400,1223,3.2700
3.2700,3.2700,3.2600,3.2600,2755,3.2600,3.2600,3.2600,3.2600,199,3.2500,3.2500,3.2500,3.2500,1000,3.2700,3.2700,3.2700,3.2700,100,3.2500,3.2500,3.2500,3.2500,5045,3.2500,3.2500,3.2500,3.2500,100,3.2600,3.2600,3.2600,3.2600,1050,3.2500,3.2500,3.2500,3.2500,112,3.2500,3.2500,3.2400,3.2400,1223,3.2800,3.2800,3.2800,3.2800,1000,3.2800
3.2600,3.2600,3.2600,3.2600,199,3.2500,3.2500,3.2500,3.2500,1000,3.2700,3.2700,3.2700,3.2700,100,3.2500,3.2500,3.2500,3.2500,5045,3.2500,3.2500,3.2500,3.2500,100,3.2600,3.2600,3.2600,3.2600,1050,3.2500,3.2500,3.2500,3.2500,112,3.2500,3.2500,3.2400,3.2400,1223,3.2800,3.2800,3.2800,3.2800,1000,3.2500,3.2500,3.2500,3.2500,100,3.2700
3.2500,3.2500,3.2500,3.2500,1000,3.2700,3.2700,3.2700,3.2700,100,3.2500,3.2500,3.2500,3.2500,5045,3.2500,3.2500,3.2500,3.2500,100,3.2600,3.2600,3.2600,3.2600,1050,3.2500,3.2500,3.2500,3.2500,112,3.2500,3.2500,3.2400,3.2400,1223,3.2800,3.2800,3.2800,3.2800,1000,3.2500,3.2500,3.2500,3.2500,100,3.2500,3.2799,3.2500,3.2799,415,3.2600
3.2700,3.2700,3.2700,3.2700,100,3.2500,3.2500,3.2500,3.2500,5045,3.2500,3.2500,3.2500,3.2500,100,3.2600,3.2600,3.2600,3.2600,1050,3.2500,3.2500,3.2500,3.2500,112,3.2500,3.2500,3.2400,3.2400,1223,3.2800,3.2800,3.2800,3.2800,1000,3.2500,3.2500,3.2500,3.2500,100,3.2500,3.2799,3.2500,3.2799,415,3.2800,3.2800,3.2800,3.2800,209,3.2500
3.2500,3.2500,3.2500,3.2500,5045,3.2500,3.2500,3.2500,3.2500,100,3.2600,3.2600,3.2600,3.2600,1050,3.2500,3.2500,3.2500,3.2500,112,3.2500,3.2500,3.2400,3.2400,1223,3.2800,3.2800,3.2800,3.2800,1000,3.2500,3.2500,3.2500,3.2500,100,3.2500,3.2799,3.2500,3.2799,415,3.2800,3.2800,3.2800,3.2800,209,3.2800,3.2800,3.2800,3.2800,100,3.2700
3.2500,3.2500,3.2500,3.2500,100,3.2600,3.2600,3.2600,3.2600,1050,3.2500,3.2500,3.2500,3.2500,112,3.2500,3.2500,3.2400,3.2400,1223,3.2800,3.2800,3.2800,3.2800,1000,3.2500,3.2500,3.2500,3.2500,100,3.2500,3.2799,3.2500,3.2799,415,3.2800,3.2800,3.2800,3.2800,209,3.2800,3.2800,3.2800,3.2800,100,3.2500,3.2700,3.2500,3.2699,3045,3.2500
