open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
13.0000,13.0000,13.0000,13.0000,300,13.0499,13.0499,13.0499,13.0499,200,13.0000,13.0000,13.0000,13.0000,2500,13.0000,13.0000,13.0000,13.0000,200,13.0000,13.0000,13.0000,13.0000,1000,13.0000,13.0000,13.0000,13.0000,1000,13.0000,13.0000,13.0000,13.0000,250,13.0000,13.0000,13.0000,13.0000,420,12.9500,12.9500,12.9500,12.9500,500,13.0500,13.0500,13.0500,13.0500,100,13.0500
13.0499,13.0499,13.0499,13.0499,200,13.0000,13.0000,13.0000,13.0000,2500,13.0000,13.0000,13.0000,13.0000,200,13.0000,13.0000,13.0000,13.0000,1000,13.0000,13.0000,13.0000,13.0000,1000,13.0000,13.0000,13.0000,13.0000,250,13.0000,13.0000,13.0000,13.0000,420,12.9500,12.9500,12.9500,12.9500,500,13.0500,13.0500,13.0500,13.0500,100,13.0500,13.0500,13.0500,13.0500,550,13.0000
13.0000,13.0000,13.0000,13.0000,2500,13.0000,13.0000,13.0000,13.0000,200,13.0000,13.0000,13.0000,13.0000,1000,13.0000,13.0000,13.0000,13.0000,1000,13.0000,13.0000,13.0000,13.0000,250,13.0000,13.0000,13.0000,13.0000,420,12.9500,12.9500,12.9500,12.9500,500,13.0500,13.0500,13.0500,13.0500,100,13.0500,13.0500,13.0500,13.0500,550,13.0500,13.0500,13.0500,13.0500,189,13.0499
13.0000,13.0000,13.0000,13.0000,200,13.0000,13.0000,13.0000,13.0000,1000,13.0000,13.0000,13.0000,13.0000,1000,13.0000,13.0000,13.0000,13.0000,250,13.0000,13.0000,13.0000,13.0000,420,12.9500,12.9500,12.9500,12.9500,500,13.0500,13.0500,13.0500,13.0500,100,13.0500,13.0500,13.0500,13.0500,550,13.0500,13.0500,13.0500,13.0500,189,13.0000,13.0000,13.0000,13.0000,100,13.0000
13.0000,13.0000,13.0000,13.0000,1000,13.0000,13.0000,13.0000,13.0000,1000,13.0000,13.0000,13.0000,13.0000,250,13.0000,13.0000,13.0000,13.0000,420,12.9500,12.9500,12.9500,12.9500,500,13.0500,13.0500,13.0500,13.0500,100,13.0500,13.0500,13.0500,13.0500,550,13.0500,13.0500,13.0500,13.0500,189,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,300,13.0000
13.0000,13.0000,13.0000,13.0000,1000,13.0000,13.0000,13.0000,13.0000,250,13.0000,13.0000,13.0000,13.0000,420,12.9500,12.9500,12.9500,12.9500,500,13.0500,13.0500,13.0500,13.0500,100,13.0500,13.0500,13.0500,13.0500,550,13.0500,13.0500,13.0500,13.0500,189,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,300,13.0000,13.0000,13.0000,13.0000,100,13.0000
13.0000,13.0000,13.0000,13.0000,250,13.0000,13.0000,13.0000,13.0000,420,12.9500,12.9500,12.9500,12.9500,500,13.0500,13.0500,13.0500,13.0500,100,13.0500,13.0500,13.0500,13.0500,550,13.0500,13.0500,13.0500,13.0500,189,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,300,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,118,13.0000
13.0000,13.0000,13.0000,13.0000,420,12.9500,12.9500,12.9500,12.9500,500,13.0500,13.0500,13.0500,13.0500,100,13.0500,13.0500,13.0500,13.0500,550,13.0500,13.0500,13.0500,13.0500,189,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,300,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,118,12.9300,12.9300,12.9300,12.9300,500,13.0000
12.9500,12.9500,12.9500,12.9500,500,13.0500,13.0500,13.0500,13.0500,100,13.0500,13.0500,13.0500,13.0500,550,13.0500,13.0500,13.0500,13.0500,189,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,300,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,118,12.9300,12.9300,12.9300,12.9300,500,12.9300,12.9300,12.9300,12.9300,636,13.0000
13.0500,13.0500,13.0500,13.0500,100,13.0500,13.0500,13.0500,13.0500,550,13.0500,13.0500,13.0500,13.0500,189,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,300,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,118,12.9300,12.9300,12.9300,12.9300,500,12.9300,12.9300,12.9300,12.9300,636,13.0000,13.0000,13.0000,13.0000,125,12.9500
13.0500,13.0500,13.0500,13.0500,550,13.0500,13.0500,13.0500,13.0500,189,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,300,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,118,12.9300,12.9300,12.9300,12.9300,500,12.9300,12.9300,12.9300,12.9300,636,13.0000,13.0000,13.0000,13.0000,125,13.0000,13.0000,13.0000,13.0000,633,13.0500
13.0500,13.0500,13.0500,13.0500,189,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,300,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,118,12.9300,12.9300,12.9300,12.9300,500,12.9300,12.9300,12.9300,12.9300,636,13.0000,13.0000,13.0000,13.0000,125,13.0000,13.0000,13.0000,13.0000,633,13.0600,13.0600,13.0600,13.0600,500,13.0500
13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,300,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,118,12.9300,12.9300,12.9300,12.9300,500,12.9300,12.9300,12.9300,12.9300,636,13.0000,13.0000,13.0000,13.0000,125,13.0000,13.0000,13.0000,13.0000,633,13.0600,13.0600,13.0600,13.0600,500,13.0000,13.0000,13.0000,13.0000,201,13.0500
13.0000,13.0000,13.0000,13.0000,300,13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,118,12.9300,12.9300,12.9300,12.9300,500,12.9300,12.9300,12.9300,12.9300,636,13.0000,13.0000,13.0000,13.0000,125,13.0000,13.0000,13.0000,13.0000,633,13.0600,13.0600,13.0600,13.0600,500,13.0000,13.0000,13.0000,13.0000,201,13.0800,13.1000,13.0800,13.0900,2910,13.0000
13.0000,13.0000,13.0000,13.0000,100,13.0000,13.0000,13.0000,13.0000,118,12.9300,12.9300,12.9300,12.9300,500,12.9300,12.9300,12.9300,12.9300,636,13.0000,13.0000,13.0000,13.0000,125,13.0000,13.0000,13.0000,13.0000,633,13.0600,13.0600,13.0600,13.0600,500,13.0000,13.0000,13.0000,13.0000,201,13.0800,13.1000,13.0800,13.0900,2910,13.0100,13.0900,13.0100,13.0900,4230,13.0000
13.0000,13.0000,13.0000,13.0000,118,12.9300,12.9300,12.9300,12.9300,500,12.9300,12.9300,12.9300,12.9300,636,13.0000,13.0000,13.0000,13.0000,125,13.0000,13.0000,13.0000,13.0000,633,13.0600,13.0600,13.0600,13.0600,500,13.0000,13.0000,13.0000,13.0000,201,13.0800,13.1000,13.0800,13.0900,2910,13.0100,13.0900,13.0100,13.0900,4230,13.0400,13.0400,13.0400,13.0400,1028,13.0000
12.9300,12.9300,12.9300,12.9300,500,12.9300,12.9300,12.9300,12.9300,636,13.0000,13.0000,13.0000,13.0000,125,13.0000,13.0000,13.0000,13.0000,633,13.0600,13.0600,13.0600,13.0600,500,13.0000,13.0000,13.0000,13.0000,201,13.0800,13.1000,13.0800,13.0900,2910,13.0100,13.0900,13.0100,13.0900,4230,13.0400,13.0400,13.0400,13.0400,1028,12.9900,12.9900,12.9900,12.9900,100,13.0000
12.9300,12.9300,12.9300,12.9300,636,13.0000,13.0000,13.0000,13.0000,125,13.0000,13.0000,13.0000,13.0000,633,13.0600,13.0600,13.0600,13.0600,500,13.0000,13.0000,13.0000,13.0000,201,13.0800,13.1000,13.0800,13.0900,2910,13.0100,13.0900,13.0100,13.0900,4230,13.0400,13.0400,13.0400,13.0400,1028,12.9900,12.9900,12.9900,12.9900,100,12.9900,13.0000,12.9900,13.0000,819,12.9300
13.0000,13.0000,13.0000,13.0000,125,13.0000,13.0000,13.0000,13.0000,633,13.0600,13.0600,13.0600,13.0600,500,13.0000,13.0000,13.0000,13.0000,201,13.0800,13.1000,13.0800,13.0900,2910,13.0100,13.0900,13.0100,13.0900,4230,13.0400,13.0400,13.0400,13.0400,1028,12.9900,12.9900,12.9900,12.9900,100,12.9900,13.0000,12.9900,13.0000,819,12.9500,12.9500,12.9500,12.9500,600,12.9300
13.0000,13.0000,13.0000,13.0000,633,13.0600,13.0600,13.0600,13.0600,500,13.0000,13.0000,13.0000,13.0000,201,13.0800,13.1000,13.0800,13.0900,2910,13.0100,13.0900,13.0100,13.0900,4230,13.0400,13.0400,13.0400,13.0400,1028,12.9900,12.9900,12.9900,12.9900,100,12.9900,13.0000,12.9900,13.0000,819,12.9500,12.9500,12.9500,12.9500,600,12.9400,12.9400,12.9400,12.9400,100,13.0000
13.0600,13.0600,13.0600,13.0600,500,13.0000,13.0000,13.0000,13.0000,201,13.0800,13.1000,13.0800,13.0900,2910,13.0100,13.0900,13.0100,13.0900,4230,13.0400,13.0400,13.0400,13.0400,1028,12.9900,12.9900,12.9900,12.9900,100,12.9900,13.0000,12.9900,13.0000,819,12.9500,12.9500,12.9500,12.9500,600,12.9400,12.9400,12.9400,12.9400,100,12.9200,12.9200,12.9200,12.9200,100,13.0000
