open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
7.2100,7.2200,7.2100,7.2200,770,7.2000,7.2000,7.2000,7.2000,1928,7.2000,7.2000,7.2000,7.2000,1020,7.1400,7.2000,7.1400,7.1800,2122,7.1800,7.1800,7.1800,7.1800,200,7.1800,7.1800,7.1800,7.1800,322,7.1600,7.1600,7.1600,7.1600,898,7.1800,7.1800,7.1800,7.1800,546,7.1500,7.2000,7.1500,7.2000,4972,7.1500,7.1500,7.1500,7.1500,100,7.2300
7.2000,7.2000,7.2000,7.2000,1928,7.2000,7.2000,7.2000,7.2000,1020,7.1400,7.2000,7.1400,7.1800,2122,7.1800,7.1800,7.1800,7.1800,200,7.1800,7.1800,7.1800,7.1800,322,7.1600,7.1600,7.1600,7.1600,898,7.1800,7.1800,7.1800,7.1800,546,7.1500,7.2000,7.1500,7.2000,4972,7.1500,7.1500,7.1500,7.1500,100,7.2000,7.2000,7.2000,7.2000,2000,7.2100
7.2000,7.2000,7.2000,7.2000,1020,7.1400,7.2000,7.1400,7.1800,2122,7.1800,7.1800,7.1800,7.1800,200,7.1800,7.1800,7.1800,7.1800,322,7.1600,7.1600,7.1600,7.1600,898,7.1800,7.1800,7.1800,7.1800,546,7.1500,7.2000,7.1500,7.2000,4972,7.1500,7.1500,7.1500,7.1500,100,7.2000,7.2000,7.2000,7.2000,2000,7.1100,7.2000,7.1100,7.2000,360,7.2000
7.1400,7.2000,7.1400,7.1800,2122,7.1800,7.1800,7.1800,7.1800,200,7.1800,7.1800,7.1800,7.1800,322,7.1600,7.1600,7.1600,7.1600,898,7.1800,7.1800,7.1800,7.1800,546,7.1500,7.2000,7.1500,7.2000,4972,7.1500,7.1500,7.1500,7.1500,100,7.2000,7.2000,7.2000,7.2000,2000,7.1100,7.2000,7.1100,7.2000,360,7.2000,7.2000,7.2000,7.2000,200,7.2000
7.1800,7.1800,7.1800,7.1800,200,7.1800,7.1800,7.1800,7.1800,322,7.1600,7.1600,7.1600,7.1600,898,7.1800,7.1800,7.1800,7.1800,546,7.1500,7.2000,7.1500,7.2000,4972,7.1500,7.1500,7.1500,7.1500,100,7.2000,7.2000,7.2000,7.2000,2000,7.1100,7.2000,7.1100,7.2000,360,7.2000,7.2000,7.2000,7.2000,200,7.1800,7.1800,7.1800,7.1800,112,7.1400
7.1800,7.1800,7.1800,7.1800,322,7.1600,7.1600,7.1600,7.1600,898,7.1800,7.1800,7.1800,7.1800,546,7.1500,7.2000,7.1500,7.2000,4972,7.1500,7.1500,7.1500,7.1500,100,7.2000,7.2000,7.2000,7.2000,2000,7.1100,7.2000,7.1100,7.2000,360,7.2000,7.2000,7.2000,7.2000,200,7.1800,7.1800,7.1800,7.1800,112,7.1800,7.1800,7.1800,7.1800,100,7.1800
7.1600,7.1600,7.1600,7.1600,898,7.1800,7.1800,7.1800,7.1800,546,7.1500,7.2000,7.1500,7.2000,4972,7.1500,7.1500,7.1500,7.1500,100,7.2000,7.2000,7.2000,7.2000,2000,7.1100,7.2000,7.1100,7.2000,360,7.2000,7.2000,7.2000,7.2000,200,7.1800,7.1800,7.1800,7.1800,112,7.1800,7.1800,7.1800,7.1800,100,7.1800,7.1800,7.1800,7.1800,988,7.1800
7.1800,7.1800,7.1800,7.1800,546,7.1500,7.2000,7.1500,7.2000,4972,7.1500,7.1500,7.1500,7.1500,100,7.2000,7.2000,7.2000,7.2000,2000,7.1100,7.2000,7.1100,7.2000,360,7.2000,7.2000,7.2000,7.2000,200,7.1800,7.1800,7.1800,7.1800,112,7.1800,7.1800,7.1800,7.1800,100,7.1800,7.1800,7.1800,7.1800,988,7.1800,7.1800,7.1800,7.1800,413,7.1600
7.1500,7.2000,7.1500,7.2000,4972,7.1500,7.1500,7.1500,7.1500,100,7.2000,7.2000,7.2000,7.2000,2000,7.1100,7.2000,7.1100,7.2000,360,7.2000,7.2000,7.2000,7.2000,200,7.1800,7.1800,7.1800,7.1800,112,7.1800,7.1800,7.1800,7.1800,100,7.1800,7.1800,7.1800,7.1800,988,7.1800,7.1800,7.1800,7.1800,413,7.2000,7.2000,7.1800,7.1800,2306,7.1800
7.1500,7.1500,7.1500,7.1500,100,7.2000,7.2000,7.2000,7.2000,2000,7.1100,7.2000,7.1100,7.2000,360,7.2000,7.2000,7.2000,7.2000,200,7.1800,7.1800,7.1800,7.1800,112,7.1800,7.1800,7.1800,7.1800,100,7.1800,7.1800,7.1800,7.1800,988,7.1800,7.1800,7.1800,7.1800,413,7.2000,7.2000,7.1800,7.1800,2306,7.2000,7.2000,7.2000,7.2000,505,7.1500
7.2000,7.2000,7.2000,7.2000,2000,7.1100,7.2000,7.1100,7.2000,360,7.2000,7.2000,7.2000,7.2000,200,7.1800,7.1800,7.1800,7.1800,112,7.1800,7.1800,7.1800,7.1800,100,7.1800,7.1800,7.1800,7.1800,988,7.1800,7.1800,7.1800,7.1800,413,7.2000,7.2000,7.1800,7.1800,2306,7.2000,7.2000,7.2000,7.2000,505,7.1900,7.1900,7.1900,7.1900,190,7.1500
7.1100,7.2000,7.1100,7.2000,360,7.2000,7.2000,7.2000,7.2000,200,7.1800,7.1800,7.1800,7.1800,112,7.1800,7.1800,7.1800,7.1800,100,7.1800,7.1800,7.1800,7.1800,988,7.1800,7.1800,7.1800,7.1800,413,7.2000,7.2000,7.1800,7.1800,2306,7.2000,7.2000,7.2000,7.2000,505,7.1900,7.1900,7.1900,7.1900,190,7.2100,7.2100,7.2000,7.2000,498,7.2000
7.2000,7.2000,7.2000,7.2000,200,7.1800,7.1800,7.1800,7.1800,112,7.1800,7.1800,7.1800,7.1800,100,7.1800,7.1800,7.1800,7.1800,988,7.1800,7.1800,7.1800,7.1800,413,7.2000,7.2000,7.1800,7.1800,2306,7.2000,7.2000,7.2000,7.2000,505,7.1900,7.1900,7.1900,7.1900,190,7.2100,7.2100,7.2000,7.2000,498,7.2000,7.2000,7.2000,7.2000,205,7.1100
7.1800,7.1800,7.1800,7.1800,112,7.1800,7.1800,7.1800,7.1800,100,7.1800,7.1800,7.1800,7.1800,988,7.1800,7.1800,7.1800,7.1800,413,7.2000,7.2000,7.1800,7.1800,2306,7.2000,7.2000,7.2000,7.2000,505,7.1900,7.1900,7.1900,7.1900,190,7.2100,7.2100,7.2000,7.2000,498,7.2000,7.2000,7.2000,7.2000,205,7.1900,7.1900,7.1900,7.1900,230,7.2000
7.1800,7.1800,7.1800,7.1800,100,7.1800,7.1800,7.1800,7.1800,988,7.1800,7.1800,7.1800,7.1800,413,7.2000,7.2000,7.1800,7.1800,2306,7.2000,7.2000,7.2000,7.2000,505,7.1900,7.1900,7.1900,7.1900,190,7.2100,7.2100,7.2000,7.2000,498,7.2000,7.2000,7.2000,7.2000,205,7.1900,7.1900,7.1900,7.1900,230,7.2400,7.2400,7.1800,7.1800,348,7.1800
7.1800,7.1800,7.1800,7.1800,988,7.1800,7.1800,7.1800,7.1800,413,7.2000,7.2000,7.1800,7.1800,2306,7.2000,7.2000,7.2000,7.2000,505,7.1900,7.1900,7.1900,7.1900,190,7.2100,7.2100,7.2000,7.2000,498,7.2000,7.2000,7.2000,7.2000,205,7.1900,7.1900,7.1900,7.1900,230,7.2400,7.2400,7.1800,7.1800,348,7.1700,7.1700,7.1700,7.1700,129,7.1800
7.1800,7.1800,7.1800,7.1800,413,7.2000,7.2000,7.1800,7.1800,2306,7.2000,7.2000,7.2000,7.2000,505,7.1900,7.1900,7.1900,7.1900,190,7.2100,7.2100,7.2000,7.2000,498,7.2000,7.2000,7.2000,7.2000,205,7.1900,7.1900,7.1900,7.1900,230,7.2400,7.2400,7.1800,7.1800,348,7.1700,7.1700,7.1700,7.1700,129,7.1700,7.1700,7.1700,7.1700,500,7.1800
7.2000,7.2000,7.1800,7.1800,2306,7.2000,7.2000,7.2000,7.2000,505,7.1900,7.1900,7.1900,7.1900,190,7.2100,7.2100,7.2000,7.2000,498,7.2000,7.2000,7.2000,7.2000,205,7.1900,7.1900,7.1900,7.1900,230,7.2400,7.2400,7.1800,7.1800,348,7.1700,7.1700,7.1700,7.1700,129,7.1700,7.1700,7.1700,7.1700,500,7.1900,7.1900,7.1900,7.1900,1021,7.1800
7.2000,7.2000,7.2000,7.2000,505,7.1900,7.1900,7.1900,7.1900,190,7.2100,7.2100,7.2000,7.2000,498,7.2000,7.2000,7.2000,7.2000,205,7.1900,7.1900,7.1900,7.1900,230,7.2400,7.2400,7.1800,7.1800,348,7.1700,7.1700,7.1700,7.1700,129,7.1700,7.1700,7.1700,7.1700,500,7.1900,7.1900,7.1900,7.1900,1021,7.2400,7.2400,7.1900,7.2400,789,7.2000
7.1900,7.1900,7.1900,7.1900,190,7.2100,7.2100,7.2000,7.2000,498,7.2000,7.2000,7.2000,7.2000,205,7.1900,7.1900,7.1900,7.1900,230,7.2400,7.2400,7.1800,7.1800,348,7.1700,7.1700,7.1700,7.1700,129,7.1700,7.1700,7.1700,7.1700,500,7.1900,7.1900,7.1900,7.1900,1021,7.2400,7.2400,7.1900,7.2400,789,7.2000,7.2000,7.2000,7.2000,100,7.2000
7.2100,7.2100,7.2000,7.2000,498,7.2000,7.2000,7.2000,7.2000,205,7.1900,7.1900,7.1900,7.1900,230,7.2400,7.2400,7.1800,7.1800,348,7.1700,7.1700,7.1700,7.1700,129,7.1700,7.1700,7.1700,7.1700,500,7.1900,7.1900,7.1900,7.1900,1021,7.2400,7.2400,7.1900,7.2400,789,7.2000,7.2000,7.2000,7.2000,100,7.2000,7.2000,7.2000,7.2000,300,7.1900
7.2000,7.2000,7.2000,7.2000,205,7.1900,7.1900,7.1900,7.1900,230,7.2400,7.2400,7.1800,7.1800,348,7.1700,7.1700,7.1700,7.1700,129,7.1700,7.1700,7.1700,7.1700,500,7.1900,7.1900,7.1900,7.1900,1021,7.2400,7.2400,7.1900,7.2400,789,7.2000,7.2000,7.2000,7.2000,100,7.2000,7.2000,7.2000,7.2000,300,7.2400,7.2400,7.2400,7.2400,150,7.2100
7.1900,7.1900,7.1900,7.1900,230,7.2400,7.2400,7.1800,7.1800,348,7.1700,7.1700,7.1700,7.1700,129,7.1700,7.1700,7.1700,7.1700,500,7.1900,7.1900,7.1900,7.1900,1021,7.2400,7.2400,7.1900,7.2400,789,7.2000,7.2000,7.2000,7.2000,100,7.2000,7.2000,7.2000,7.2000,300,7.2400,7.2400,7.2400,7.2400,150,7.1500,7.1500,7.1500,7.1500,460,7.2000
7.2400,7.2400,7.1800,7.1800,348,7.1700,7.1700,7.1700,7.1700,129,7.1700,7.1700,7.1700,7.1700,500,7.1900,7.1900,7.1900,7.1900,1021,7.2400,7.2400,7.1900,7.2400,789,7.2000,7.2000,7.2000,7.2000,100,7.2000,7.2000,7.2000,7.2000,300,7.2400,7.2400,7.2400,7.2400,150,7.1500,7.1500,7.1500,7.1500,460,7.1400,7.1400,7.1400,7.1400,190,7.1900
7.1700,7.1700,7.1700,7.1700,129,7.1700,7.1700,7.1700,7.1700,500,7.1900,7.1900,7.1900,7.1900,1021,7.2400,7.2400,7.1900,7.2400,789,7.2000,7.2000,7.2000,7.2000,100,7.2000,7.2000,7.2000,7.2000,300,7.2400,7.2400,7.2400,7.2400,150,7.1500,7.1500,7.1500,7.1500,460,7.1400,7.1400,7.1400,7.1400,190,7.1600,7.1600,7.1600,7.1600,109,7.2400
