open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
44.0000,44.0000,44.0000,44.0000,396,43.7500,43.8500,43.7500,43.8500,476,43.5500,43.6500,43.5500,43.6500,1926,43.2500,43.2500,43.2500,43.2500,250,43.2501,43.2501,43.2501,43.2501,300,43.2500,43.2500,43.2500,43.2500,100,43.2500,43.2500,43.2500,43.2500,500,43.5000,43.5000,43.5000,43.5000,880,43.1600,43.1600,43.1600,43.1600,200,43.7500,43.7500,43.7500,43.7500,200,44.0000
43.7500,43.8500,43.7500,43.8500,476,43.5500,43.6500,43.5500,43.6500,1926,43.2500,43.2500,43.2500,43.2500,250,43.2501,43.2501,43.2501,43.2501,300,43.2500,43.2500,43.2500,43.2500,100,43.2500,43.2500,43.2500,43.2500,500,43.5000,43.5000,43.5000,43.5000,880,43.1600,43.1600,43.1600,43.1600,200,43.7500,43.7500,43.7500,43.7500,200,43.7500,43.7500,43.7500,43.7500,200,44.0000
43.5500,43.6500,43.5500,43.6500,1926,43.2500,43.2500,43.2500,43.2500,250,43.2501,43.2501,43.2501,43.2501,300,43.2500,43.2500,43.2500,43.2500,100,43.2500,43.2500,43.2500,43.2500,500,43.5000,43.5000,43.5000,43.5000,880,43.1600,43.1600,43.1600,43.1600,200,43.7500,43.7500,43.7500,43.7500,200,43.7500,43.7500,43.7500,43.7500,200,43.5000,43.5000,43.5000,43.5000,255,43.7500
43.2500,43.2500,43.2500,43.2500,250,43.2501,43.2501,43.2501,43.2501,300,43.2500,43.2500,43.2500,43.2500,100,43.2500,43.2500,43.2500,43.2500,500,43.5000,43.5000,43.5000,43.5000,880,43.1600,43.1600,43.1600,43.1600,200,43.7500,43.7500,43.7500,43.7500,200,43.7500,43.7500,43.7500,43.7500,200,43.5000,43.5000,43.5000,43.5000,255,43.1400,43.1400,43.1400,43.1400,100,43.5500
43.2501,43.2501,43.2501,43.2501,300,43.2500,43.2500,43.2500,43.2500,100,43.2500,43.2500,43.2500,43.2500,500,43.5000,43.5000,43.5000,43.5000,880,43.1600,43.1600,43.1600,43.1600,200,43.7500,43.7500,43.7500,43.7500,200,43.7500,43.7500,43.7500,43.7500,200,43.5000,43.5000,43.5000,43.5000,255,43.1400,43.1400,43.1400,43.1400,100,42.5900,42.5900,42.5900,42.5900,100,43.2500
43.2500,43.2500,43.2500,43.2500,100,43.2500,43.2500,43.2500,43.2500,500,43.5000,43.5000,43.5000,43.5000,880,43.1600,43.1600,43.1600,43.1600,200,43.7500,43.7500,43.7500,43.7500,200,43.7500,43.7500,43.7500,43.7500,200,43.5000,43.5000,43.5000,43.5000,255,43.1400,43.1400,43.1400,43.1400,100,42.5900,42.5900,42.5900,42.5900,100,43.7900,43.7900,43.7900,43.7900,114,43.2501
43.2500,43.2500,43.2500,43.2500,500,43.5000,43.5000,43.5000,43.5000,880,43.1600,43.1600,43.1600,43.1600,200,43.7500,43.7500,43.7500,43.7500,200,43.7500,43.7500,43.7500,43.7500,200,43.5000,43.5000,43.5000,43.5000,255,43.1400,43.1400,43.1400,43.1400,100,42.5900,42.5900,42.5900,42.5900,100,43.7900,43.7900,43.7900,43.7900,114,43.7500,43.7500,43.7500,43.7500,4499,43.2500
43.5000,43.5000,43.5000,43.5000,880,43.1600,43.1600,43.1600,43.1600,200,43.7500,43.7500,43.7500,43.7500,200,43.7500,43.7500,43.7500,43.7500,200,43.5000,43.5000,43.5000,43.5000,255,43.1400,43.1400,43.1400,43.1400,100,42.5900,42.5900,42.5900,42.5900,100,43.7900,43.7900,43.7900,43.7900,114,43.7500,43.7500,43.7500,43.7500,4499,43.7500,43.7500,43.7500,43.7500,30890,43.2500
43.1600,43.1600,43.1600,43.1600,200,43.7500,43.7500,43.7500,43.7500,200,43.7500,43.7500,43.7500,43.7500,200,43.5000,43.5000,43.5000,43.5000,255,43.1400,43.1400,43.1400,43.1400,100,42.5900,42.5900,42.5900,42.5900,100,43.7900,43.7900,43.7900,43.7900,114,43.7500,43.7500,43.7500,43.7500,4499,43.7500,43.7500,43.7500,43.7500,30890,43.8100,43.8200,43.7500,43.7500,28511,43.5000
43.7500,43.7500,43.7500,43.7500,200,43.7500,43.7500,43.7500,43.7500,200,43.5000,43.5000,43.5000,43.5000,255,43.1400,43.1400,43.1400,43.1400,100,42.5900,42.5900,42.5900,42.5900,100,43.7900,43.7900,43.7900,43.7900,114,43.7500,43.7500,43.7500,43.7500,4499,43.7500,43.7500,43.7500,43.7500,30890,43.8100,43.8200,43.7500,43.7500,28511,43.7400,43.8200,43.7300,43.7600,15836,43.1600
