open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
1.9100,1.9100,1.9100,1.9100,1250,1.9200,1.9200,1.9100,1.9100,2701,1.9100,1.9100,1.9100,1.9100,3590,1.9100,1.9100,1.9000,1.9000,2219,1.9199,1.9199,1.9000,1.9000,1000,1.9200,1.9200,1.9200,1.9200,1552,1.9200,1.9200,1.9200,1.9200,5249,1.9300,1.9300,1.9300,1.9300,300,1.9300,1.9300,1.9300,1.9300,1782,1.9300,1.9301,1.9200,1.9200,6850,1.9200
1.9200,1.9200,1.9100,1.9100,2701,1.9100,1.9100,1.9100,1.9100,3590,1.9100,1.9100,1.9000,1.9000,2219,1.9199,1.9199,1.9000,1.9000,1000,1.9200,1.9200,1.9200,1.9200,1552,1.9200,1.9200,1.9200,1.9200,5249,1.9300,1.9300,1.9300,1.9300,300,1.9300,1.9300,1.9300,1.9300,1782,1.9300,1.9301,1.9200,1.9200,6850,1.9200,1.9200,1.9100,1.9200,18810,1.9100
1.9100,1.9100,1.9100,1.9100,3590,1.9100,1.9100,1.9000,1.9000,2219,1.9199,1.9199,1.9000,1.9000,1000,1.9200,1.9200,1.9200,1.9200,1552,1.9200,1.9200,1.9200,1.9200,5249,1.9300,1.9300,1.9300,1.9300,300,1.9300,1.9300,1.9300,1.9300,1782,1.9300,1.9301,1.9200,1.9200,6850,1.9200,1.9200,1.9100,1.9200,18810,1.9200,1.9200,1.9200,1.9200,35001,1.9200
1.9100,1.9100,1.9000,1.9000,2219,1.9199,1.9199,1.9000,1.9000,1000,1.9200,1.9200,1.9200,1.9200,1552,1.9200,1.9200,1.9200,1.9200,5249,1.9300,1.9300,1.9300,1.9300,300,1.9300,1.9300,1.9300,1.9300,1782,1.9300,1.9301,1.9200,1.9200,6850,1.9200,1.9200,1.9100,1.9200,18810,1.9200,1.9200,1.9200,1.9200,35001,1.9300,1.9300,1.9200,1.9200,2089,1.9100
1.9199,1.9199,1.9000,1.9000,1000,1.9200,1.9200,1.9200,1.9200,1552,1.9200,1.9200,1.9200,1.9200,5249,1.9300,1.9300,1.9300,1.9300,300,1.9300,1.9300,1.9300,1.9300,1782,1.9300,1.9301,1.9200,1.9200,6850,1.9200,1.9200,1.9100,1.9200,18810,1.9200,1.9200,1.9200,1.9200,35001,1.9300,1.9300,1.9200,1.9200,2089,1.9300,1.9300,1.9300,1.9300,300,1.9100
1.9200,1.9200,1.9200,1.9200,1552,1.9200,1.9200,1.9200,1.9200,5249,1.9300,1.9300,1.9300,1.9300,300,1.9300,1.9300,1.9300,1.9300,1782,1.9300,1.9301,1.9200,1.9200,6850,1.9200,1.9200,1.9100,1.9200,18810,1.9200,1.9200,1.9200,1.9200,35001,1.9300,1.9300,1.9200,1.9200,2089,1.9300,1.9300,1.9300,1.9300,300,1.9100,1.9100,1.9100,1.9100,35011,1.9199
1.9200,1.9200,1.9200,1.9200,5249,1.9300,1.9300,1.9300,1.9300,300,1.9300,1.9300,1.9300,1.9300,1782,1.9300,1.9301,1.9200,1.9200,6850,1.9200,1.9200,1.9100,1.9200,18810,1.9200,1.9200,1.9200,1.9200,35001,1.9300,1.9300,1.9200,1.9200,2089,1.9300,1.9300,1.9300,1.9300,300,1.9100,1.9100,1.9100,1.9100,35011,1.9100,1.9100,1.9100,1.9100,28004,1.9200
1.9300,1.9300,1.9300,1.9300,300,1.9300,1.9300,1.9300,1.9300,1782,1.9300,1.9301,1.9200,1.9200,6850,1.9200,1.9200,1.9100,1.9200,18810,1.9200,1.9200,1.9200,1.9200,35001,1.9300,1.9300,1.9200,1.9200,2089,1.9300,1.9300,1.9300,1.9300,300,1.9100,1.9100,1.9100,1.9100,35011,1.9100,1.9100,1.9100,1.9100,28004,1.9100,1.9100,1.9000,1.9100,12558,1.9200
1.9300,1.9300,1.9300,1.9300,1782,1.9300,1.9301,1.9200,1.9200,6850,1.9200,1.9200,1.9100,1.9200,18810,1.9200,1.9200,1.9200,1.9200,35001,1.9300,1.9300,1.9200,1.9200,2089,1.9300,1.9300,1.9300,1.9300,300,1.9100,1.9100,1.9100,1.9100,35011,1.9100,1.9100,1.9100,1.9100,28004,1.9100,1.9100,1.9000,1.9100,12558,1.9100,1.9100,1.9100,1.9100,20302,1.9300
1.9300,1.9301,1.9200,1.9200,6850,1.9200,1.9200,1.9100,1.9200,18810,1.9200,1.9200,1.9200,1.9200,35001,1.9300,1.9300,1.9200,1.9200,2089,1.9300,1.9300,1.9300,1.9300,300,1.9100,1.9100,1.9100,1.9100,35011,1.9100,1.9100,1.9100,1.9100,28004,1.9100,1.9100,1.9000,1.9100,12558,1.9100,1.9100,1.9100,1.9100,20302,1.9100,1.9100,1.9100,1.9100,100,1.9300
1.9200,1.9200,1.9100,1.9200,18810,1.9200,1.9200,1.9200,1.9200,35001,1.9300,1.9300,1.9200,1.9200,2089,1.9300,1.9300,1.9300,1.9300,300,1.9100,1.9100,1.9100,1.9100,35011,1.9100,1.9100,1.9100,1.9100,28004,1.9100,1.9100,1.9000,1.9100,12558,1.9100,1.9100,1.9100,1.9100,20302,1.9100,1.9100,1.9100,1.9100,100,1.9100,1.9100,1.9100,1.9100,9410,1.9300
1.9200,1.9200,1.9200,1.9200,35001,1.9300,1.9300,1.9200,1.9200,2089,1.9300,1.9300,1.9300,1.9300,300,1.9100,1.9100,1.9100,1.9100,35011,1.9100,1.9100,1.9100,1.9100,28004,1.9100,1.9100,1.9000,1.9100,12558,1.9100,1.9100,1.9100,1.9100,20302,1.9100,1.9100,1.9100,1.9100,100,1.9100,1.9100,1.9100,1.9100,9410,1.9000,1.9000,1.9000,1.9000,1000,1.9200
1.9300,1.9300,1.9200,1.9200,2089,1.9300,1.9300,1.9300,1.9300,300,1.9100,1.9100,1.9100,1.9100,35011,1.9100,1.9100,1.9100,1.9100,28004,1.9100,1.9100,1.9000,1.9100,12558,1.9100,1.9100,1.9100,1.9100,20302,1.9100,1.9100,1.9100,1.9100,100,1.9100,1.9100,1.9100,1.9100,9410,1.9000,1.9000,1.9000,1.9000,1000,1.9000,1.9000,1.9000,1.9000,4003,1.9200
1.9300,1.9300,1.9300,1.9300,300,1.9100,1.9100,1.9100,1.9100,35011,1.9100,1.9100,1.9100,1.9100,28004,1.9100,1.9100,1.9000,1.9100,12558,1.9100,1.9100,1.9100,1.9100,20302,1.9100,1.9100,1.9100,1.9100,100,1.9100,1.9100,1.9100,1.9100,9410,1.9000,1.9000,1.9000,1.9000,1000,1.9000,1.9000,1.9000,1.9000,4003,1.9000,1.9000,1.9000,1.9000,2000,1.9300
1.9100,1.9100,1.9100,1.9100,35011,1.9100,1.9100,1.9100,1.9100,28004,1.9100,1.9100,1.9000,1.9100,12558,1.9100,1.9100,1.9100,1.9100,20302,1.9100,1.9100,1.9100,1.9100,100,1.9100,1.9100,1.9100,1.9100,9410,1.9000,1.9000,1.9000,1.9000,1000,1.9000,1.9000,1.9000,1.9000,4003,1.9000,1.9000,1.9000,1.9000,2000,1.9200,1.9200,1.9200,1.9200,200,1.9300
1.9100,1.9100,1.9100,1.9100,28004,1.9100,1.9100,1.9000,1.9100,12558,1.9100,1.9100,1.9100,1.9100,20302,1.9100,1.9100,1.9100,1.9100,100,1.9100,1.9100,1.9100,1.9100,9410,1.9000,1.9000,1.9000,1.9000,1000,1.9000,1.9000,1.9000,1.9000,4003,1.9000,1.9000,1.9000,1.9000,2000,1.9200,1.9200,1.9200,1.9200,200,1.9000,1.9000,1.9000,1.9000,1680,1.9100
1.9100,1.9100,1.9000,1.9100,12558,1.9100,1.9100,1.9100,1.9100,20302,1.9100,1.9100,1.9100,1.9100,100,1.9100,1.9100,1.9100,1.9100,9410,1.9000,1.9000,1.9000,1.9000,1000,1.9000,1.9000,1.9000,1.9000,4003,1.9000,1.9000,1.9000,1.9000,2000,1.9200,1.9200,1.9200,1.9200,200,1.9000,1.9000,1.9000,1.9000,1680,1.9100,1.9100,1.9100,1.9100,170,1.9100
1.9100,1.9100,1.9100,1.9100,20302,1.9100,1.9100,1.9100,1.9100,100,1.9100,1.9100,1.9100,1.9100,9410,1.9000,1.9000,1.9000,1.9000,1000,1.9000,1.9000,1.9000,1.9000,4003,1.9000,1.9000,1.9000,1.9000,2000,1.9200,1.9200,1.9200,1.9200,200,1.9000,1.9000,1.9000,1.9000,1680,1.9100,1.9100,1.9100,1.9100,170,1.9100,1.9100,1.9100,1.9100,100,1.9100
1.9100,1.9100,1.9100,1.9100,100,1.9100,1.9100,1.9100,1.9100,9410,1.9000,1.9000,1.9000,1.9000,1000,1.9000,1.9000,1.9000,1.9000,4003,1.9000,1.9000,1.9000,1.9000,2000,1.9200,1.9200,1.9200,1.9200,200,1.9000,1.9000,1.9000,1.9000,1680,1.9100,1.9100,1.9100,1.9100,170,1.9100,1.9100,1.9100,1.9100,100,1.9101,1.9101,1.9100,1.9100,660,1.9100
1.9100,1.9100,1.9100,1.9100,9410,1.9000,1.9000,1.9000,1.9000,1000,1.9000,1.9000,1.9000,1.9000,4003,1.9000,1.9000,1.9000,1.9000,2000,1.9200,1.9200,1.9200,1.9200,200,1.9000,1.9000,1.9000,1.9000,1680,1.9100,1.9100,1.9100,1.9100,170,1.9100,1.9100,1.9100,1.9100,100,1.9101,1.9101,1.9100,1.9100,660,1.9200,1.9200,1.9200,1.9200,200,1.9100
1.9000,1.9000,1.9000,1.9000,1000,1.9000,1.9000,1.9000,1.9000,4003,1.9000,1.9000,1.9000,1.9000,2000,1.9200,1.9200,1.9200,1.9200,200,1.9000,1.9000,1.9000,1.9000,1680,1.9100,1.9100,1.9100,1.9100,170,1.9100,1.9100,1.9100,1.9100,100,1.9101,1.9101,1.9100,1.9100,660,1.9200,1.9200,1.9200,1.9200,200,1.9200,1.9200,1.9200,1.9200,500,1.9100
1.9000,1.9000,1.9000,1.9000,4003,1.9000,1.9000,1.9000,1.9000,2000,1.9200,1.9200,1.9200,1.9200,200,1.9000,1.9000,1.9000,1.9000,1680,1.9100,1.9100,1.9100,1.9100,170,1.9100,1.9100,1.9100,1.9100,100,1.9101,1.9101,1.9100,1.9100,660,1.9200,1.9200,1.9200,1.9200,200,1.9200,1.9200,1.9200,1.9200,500,1.9200,1.9200,1.9200,1.9200,129,1.9000
1.9000,1.9000,1.9000,1.9000,2000,1.9200,1.9200,1.9200,1.9200,200,1.9000,1.9000,1.9000,1.9000,1680,1.9100,1.9100,1.9100,1.9100,170,1.9100,1.9100,1.9100,1.9100,100,1.9101,1.9101,1.9100,1.9100,660,1.9200,1.9200,1.9200,1.9200,200,1.9200,1.9200,1.9200,1.9200,500,1.9200,1.9200,1.9200,1.9200,129,1.9299,1.9299,1.9299,1.9299,1000,1.9000
1.9200,1.9200,1.9200,1.9200,200,1.9000,1.9000,1.9000,1.9000,1680,1.9100,1.9100,1.9100,1.9100,170,1.9100,1.9100,1.9100,1.9100,100,1.9101,1.9101,1.9100,1.9100,660,1.9200,1.9200,1.9200,1.9200,200,1.9200,1.9200,1.9200,1.9200,500,1.9200,1.9200,1.9200,1.9200,129,1.9299,1.9299,1.9299,1.9299,1000,1.9200,1.9200,1.9200,1.9200,4320,1.9000
1.9000,1.9000,1.9000,1.9000,1680,1.9100,1.9100,1.9100,1.9100,170,1.9100,1.9100,1.9100,1.9100,100,1.9101,1.9101,1.9100,1.9100,660,1.9200,1.9200,1.9200,1.9200,200,1.9200,1.9200,1.9200,1.9200,500,1.9200,1.9200,1.9200,1.9200,129,1.9299,1.9299,1.9299,1.9299,1000,1.9200,1.9200,1.9200,1.9200,4320,1.9200,1.9299,1.9200,1.9299,880,1.9200
1.9100,1.9100,1.9100,1.9100,170,1.9100,1.9100,1.9100,1.9100,100,1.9101,1.9101,1.9100,1.9100,660,1.9200,1.9200,1.9200,1.9200,200,1.9200,1.9200,1.9200,1.9200,500,1.9200,1.9200,1.9200,1.9200,129,1.9299,1.9299,1.9299,1.9299,1000,1.9200,1.9200,1.9200,1.9200,4320,1.9200,1.9299,1.9200,1.9299,880,1.9100,1.9200,1.9000,1.9000,20710,1.9000
1.9100,1.9100,1.9100,1.9100,100,1.9101,1.9101,1.9100,1.9100,660,1.9200,1.9200,1.9200,1.9200,200,1.9200,1.9200,1.9200,1.9200,500,1.9200,1.9200,1.9200,1.9200,129,1.9299,1.9299,1.9299,1.9299,1000,1.9200,1.9200,1.9200,1.9200,4320,1.9200,1.9299,1.9200,1.9299,880,1.9100,1.9200,1.9000,1.9000,20710,1.9000,1.9100,1.9000,1.9100,8422,1.9100
1.9101,1.9101,1.9100,1.9100,660,1.9200,1.9200,1.9200,1.9200,200,1.9200,1.9200,1.9200,1.9200,500,1.9200,1.9200,1.9200,1.9200,129,1.9299,1.9299,1.9299,1.9299,1000,1.9200,1.9200,1.9200,1.9200,4320,1.9200,1.9299,1.9200,1.9299,880,1.9100,1.9200,1.9000,1.9000,20710,1.9000,1.9100,1.9000,1.9100,8422,1.8800,1.8800,1.8700,1.8700,5012,1.9100
1.9200,1.9200,1.9200,1.9200,200,1.9200,1.9200,1.9200,1.9200,500,1.9200,1.9200,1.9200,1.9200,129,1.9299,1.9299,1.9299,1.9299,1000,1.9200,1.9200,1.9200,1.9200,4320,1.9200,1.9299,1.9200,1.9299,880,1.9100,1.9200,1.9000,1.9000,20710,1.9000,1.9100,1.9000,1.9100,8422,1.8800,1.8800,1.8700,1.8700,5012,1.8800,1.8800,1.8800,1.8800,2945,1.9101
1.9200,1.9200,1.9200,1.9200,500,1.9200,1.9200,1.9200,1.9200,129,1.9299,1.9299,1.9299,1.9299,1000,1.9200,1.9200,1.9200,1.9200,4320,1.9200,1.9299,1.9200,1.9299,880,1.9100,1.9200,1.9000,1.9000,20710,1.9000,1.9100,1.9000,1.9100,8422,1.8800,1.8800,1.8700,1.8700,5012,1.8800,1.8800,1.8800,1.8800,2945,1.9000,1.9000,1.9000,1.9000,203,1.9200
1.9200,1.9200,1.9200,1.9200,129,1.9299,1.9299,1.9299,1.9299,1000,1.9200,1.9200,1.9200,1.9200,4320,1.9200,1.9299,1.9200,1.9299,880,1.9100,1.9200,1.9000,1.9000,20710,1.9000,1.9100,1.9000,1.9100,8422,1.8800,1.8800,1.8700,1.8700,5012,1.8800,1.8800,1.8800,1.8800,2945,1.9000,1.9000,1.9000,1.9000,203,1.9300,1.9300,1.9200,1.9200,20938,1.9200
1.9299,1.9299,1.9299,1.9299,1000,1.9200,1.9200,1.9200,1.9200,4320,1.9200,1.9299,1.9200,1.9299,880,1.9100,1.9200,1.9000,1.9000,20710,1.9000,1.9100,1.9000,1.9100,8422,1.8800,1.8800,1.8700,1.8700,5012,1.8800,1.8800,1.8800,1.8800,2945,1.9000,1.9000,1.9000,1.9000,203,1.9300,1.9300,1.9200,1.9200,20938,1.9300,1.9300,1.9300,1.9300,200,1.9200
1.9200,1.9200,1.9200,1.9200,4320,1.9200,1.9299,1.9200,1.9299,880,1.9100,1.9200,1.9000,1.9000,20710,1.9000,1.9100,1.9000,1.9100,8422,1.8800,1.8800,1.8700,1.8700,5012,1.8800,1.8800,1.8800,1.8800,2945,1.9000,1.9000,1.9000,1.9000,203,1.9300,1.9300,1.9200,1.9200,20938,1.9300,1.9300,1.9300,1.9300,200,1.9400,1.9400,1.9300,1.9300,1600,1.9299
1.9200,1.9299,1.9200,1.9299,880,1.9100,1.9200,1.9000,1.9000,20710,1.9000,1.9100,1.9000,1.9100,8422,1.8800,1.8800,1.8700,1.8700,5012,1.8800,1.8800,1.8800,1.8800,2945,1.9000,1.9000,1.9000,1.9000,203,1.9300,1.9300,1.9200,1.9200,20938,1.9300,1.9300,1.9300,1.9300,200,1.9400,1.9400,1.9300,1.9300,1600,1.9300,1.9400,1.9300,1.9400,2220,1.9200
