open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
36.1500,36.1500,36.1500,36.1500,1108,36.2800,36.2800,36.2800,36.2800,247,36.0800,36.1000,36.0000,36.0000,2324,36.0800,36.0800,36.0800,36.0800,383,36.0799,36.0799,36.0000,36.0000,815,36.1000,36.1000,36.0000,36.0000,2375,36.0800,36.1000,36.0800,36.1000,485,36.2000,36.2000,36.0999,36.0999,2847,36.2600,36.3000,36.2200,36.2200,1544,36.3000,36.3000,36.3000,36.3000,532,36.2000
36.2800,36.2800,36.2800,36.2800,247,36.0800,36.1000,36.0000,36.0000,2324,36.0800,36.0800,36.0800,36.0800,383,36.0799,36.0799,36.0000,36.0000,815,36.1000,36.1000,36.0000,36.0000,2375,36.0800,36.1000,36.0800,36.1000,485,36.2000,36.2000,36.0999,36.0999,2847,36.2600,36.3000,36.2200,36.2200,1544,36.3000,36.3000,36.3000,36.3000,532,36.3100,36.3100,36.3000,36.3000,1174,36.1500
36.0800,36.1000,36.0000,36.0000,2324,36.0800,36.0800,36.0800,36.0800,383,36.0799,36.0799,36.0000,36.0000,815,36.1000,36.1000,36.0000,36.0000,2375,36.0800,36.1000,36.0800,36.1000,485,36.2000,36.2000,36.0999,36.0999,2847,36.2600,36.3000,36.2200,36.2200,1544,36.3000,36.3000,36.3000,36.3000,532,36.3100,36.3100,36.3000,36.3000,1174,36.3900,36.4000,36.3900,36.4000,908,36.2800
36.0800,36.0800,36.0800,36.0800,383,36.0799,36.0799,36.0000,36.0000,815,36.1000,36.1000,36.0000,36.0000,2375,36.0800,36.1000,36.0800,36.1000,485,36.2000,36.2000,36.0999,36.0999,2847,36.2600,36.3000,36.2200,36.2200,1544,36.3000,36.3000,36.3000,36.3000,532,36.3100,36.3100,36.3000,36.3000,1174,36.3900,36.4000,36.3900,36.4000,908,36.5800,36.5800,36.2000,36.2000,4609,36.0800
36.0799,36.0799,36.0000,36.0000,815,36.1000,36.1000,36.0000,36.0000,2375,36.0800,36.1000,36.0800,36.1000,485,36.2000,36.2000,36.0999,36.0999,2847,36.2600,36.3000,36.2200,36.2200,1544,36.3000,36.3000,36.3000,36.3000,532,36.3100,36.3100,36.3000,36.3000,1174,36.3900,36.4000,36.3900,36.4000,908,36.5800,36.5800,36.2000,36.2000,4609,36.6000,36.7000,36.6000,36.7000,1208,36.0800
36.1000,36.1000,36.0000,36.0000,2375,36.0800,36.1000,36.0800,36.1000,485,36.2000,36.2000,36.0999,36.0999,2847,36.2600,36.3000,36.2200,36.2200,1544,36.3000,36.3000,36.3000,36.3000,532,36.3100,36.3100,36.3000,36.3000,1174,36.3900,36.4000,36.3900,36.4000,908,36.5800,36.5800,36.2000,36.2000,4609,36.6000,36.7000,36.6000,36.7000,1208,36.6000,36.6000,36.6000,36.6000,413,36.0799
36.0800,36.1000,36.0800,36.1000,485,36.2000,36.2000,36.0999,36.0999,2847,36.2600,36.3000,36.2200,36.2200,1544,36.3000,36.3000,36.3000,36.3000,532,36.3100,36.3100,36.3000,36.3000,1174,36.3900,36.4000,36.3900,36.4000,908,36.5800,36.5800,36.2000,36.2000,4609,36.6000,36.7000,36.6000,36.7000,1208,36.6000,36.6000,36.6000,36.6000,413,36.6000,36.6000,36.6000,36.6000,190,36.1000
36.2000,36.2000,36.0999,36.0999,2847,36.2600,36.3000,36.2200,36.2200,1544,36.3000,36.3000,36.3000,36.3000,532,36.3100,36.3100,36.3000,36.3000,1174,36.3900,36.4000,36.3900,36.4000,908,36.5800,36.5800,36.2000,36.2000,4609,36.6000,36.7000,36.6000,36.7000,1208,36.6000,36.6000,36.6000,36.6000,413,36.6000,36.6000,36.6000,36.6000,190,36.6000,36.6000,36.6000,36.6000,302,36.0800
36.2600,36.3000,36.2200,36.2200,1544,36.3000,36.3000,36.3000,36.3000,532,36.3100,36.3100,36.3000,36.3000,1174,36.3900,36.4000,36.3900,36.4000,908,36.5800,36.5800,36.2000,36.2000,4609,36.6000,36.7000,36.6000,36.7000,1208,36.6000,36.6000,36.6000,36.6000,413,36.6000,36.6000,36.6000,36.6000,190,36.6000,36.6000,36.6000,36.6000,302,36.5700,36.6000,36.5700,36.6000,946,36.2000
36.3000,36.3000,36.3000,36.3000,532,36.3100,36.3100,36.3000,36.3000,1174,36.3900,36.4000,36.3900,36.4000,908,36.5800,36.5800,36.2000,36.2000,4609,36.6000,36.7000,36.6000,36.7000,1208,36.6000,36.6000,36.6000,36.6000,413,36.6000,36.6000,36.6000,36.6000,190,36.6000,36.6000,36.6000,36.6000,302,36.5700,36.6000,36.5700,36.6000,946,36.5600,36.5600,36.5600,36.5600,581,36.2600
