open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
5.4500,5.4500,5.4500,5.4500,100,5.4800,5.4800,5.4800,5.4800,1000,5.5000,5.5000,5.5000,5.5000,200,5.5000,5.5000,5.5000,5.5000,1000,5.4500,5.4500,5.4500,5.4500,100,5.5000,5.5000,5.5000,5.5000,291,5.4400,5.5000,5.4400,5.5000,1709,5.3100,5.3100,5.3100,5.3100,100,5.3100,5.3100,5.3100,5.3100,550,5.3100,5.3100,5.3100,5.3100,500,5.4500
5.4800,5.4800,5.4800,5.4800,1000,5.5000,5.5000,5.5000,5.5000,200,5.5000,5.5000,5.5000,5.5000,1000,5.4500,5.4500,5.4500,5.4500,100,5.5000,5.5000,5.5000,5.5000,291,5.4400,5.5000,5.4400,5.5000,1709,5.3100,5.3100,5.3100,5.3100,100,5.3100,5.3100,5.3100,5.3100,550,5.3100,5.3100,5.3100,5.3100,500,5.4100,5.4400,5.3100,5.3100,8596,5.4500
5.5000,5.5000,5.5000,5.5000,200,5.5000,5.5000,5.5000,5.5000,1000,5.4500,5.4500,5.4500,5.4500,100,5.5000,5.5000,5.5000,5.5000,291,5.4400,5.5000,5.4400,5.5000,1709,5.3100,5.3100,5.3100,5.3100,100,5.3100,5.3100,5.3100,5.3100,550,5.3100,5.3100,5.3100,5.3100,500,5.4100,5.4400,5.3100,5.3100,8596,5.5000,5.5000,5.5000,5.5000,610,5.4800
5.5000,5.5000,5.5000,5.5000,1000,5.4500,5.4500,5.4500,5.4500,100,5.5000,5.5000,5.5000,5.5000,291,5.4400,5.5000,5.4400,5.5000,1709,5.3100,5.3100,5.3100,5.3100,100,5.3100,5.3100,5.3100,5.3100,550,5.3100,5.3100,5.3100,5.3100,500,5.4100,5.4400,5.3100,5.3100,8596,5.5000,5.5000,5.5000,5.5000,610,5.5000,5.5000,5.5000,5.5000,200,5.5000
5.4500,5.4500,5.4500,5.4500,100,5.5000,5.5000,5.5000,5.5000,291,5.4400,5.5000,5.4400,5.5000,1709,5.3100,5.3100,5.3100,5.3100,100,5.3100,5.3100,5.3100,5.3100,550,5.3100,5.3100,5.3100,5.3100,500,5.4100,5.4400,5.3100,5.3100,8596,5.5000,5.5000,5.5000,5.5000,610,5.5000,5.5000,5.5000,5.5000,200,5.4900,5.4900,5.4900,5.4900,190,5.5000
5.5000,5.5000,5.5000,5.5000,291,5.4400,5.5000,5.4400,5.5000,1709,5.3100,5.3100,5.3100,5.3100,100,5.3100,5.3100,5.3100,5.3100,550,5.3100,5.3100,5.3100,5.3100,500,5.4100,5.4400,5.3100,5.3100,8596,5.5000,5.5000,5.5000,5.5000,610,5.5000,5.5000,5.5000,5.5000,200,5.4900,5.4900,5.4900,5.4900,190,5.5000,5.5000,5.5000,5.5000,100,5.4500
5.4400,5.5000,5.4400,5.5000,1709,5.3100,5.3100,5.3100,5.3100,100,5.3100,5.3100,5.3100,5.3100,550,5.3100,5.3100,5.3100,5.3100,500,5.4100,5.4400,5.3100,5.3100,8596,5.5000,5.5000,5.5000,5.5000,610,5.5000,5.5000,5.5000,5.5000,200,5.4900,5.4900,5.4900,5.4900,190,5.5000,5.5000,5.5000,5.5000,100,5.4999,5.4999,5.4999,5.4999,300,5.5000
5.3100,5.3100,5.3100,5.3100,100,5.3100,5.3100,5.3100,5.3100,550,5.3100,5.3100,5.3100,5.3100,500,5.4100,5.4400,5.3100,5.3100,8596,5.5000,5.5000,5.5000,5.5000,610,5.5000,5.5000,5.5000,5.5000,200,5.4900,5.4900,5.4900,5.4900,190,5.5000,5.5000,5.5000,5.5000,100,5.4999,5.4999,5.4999,5.4999,300,5.5500,5.5500,5.5500,5.5500,1877,5.4400
5.3100,5.3100,5.3100,5.3100,550,5.3100,5.3100,5.3100,5.3100,500,5.4100,5.4400,5.3100,5.3100,8596,5.5000,5.5000,5.5000,5.5000,610,5.5000,5.5000,5.5000,5.5000,200,5.4900,5.4900,5.4900,5.4900,190,5.5000,5.5000,5.5000,5.5000,100,5.4999,5.4999,5.4999,5.4999,300,5.5500,5.5500,5.5500,5.5500,1877,5.4300,5.4300,5.4100,5.4100,615,5.3100
5.3100,5.3100,5.3100,5.3100,500,5.4100,5.4400,5.3100,5.3100,8596,5.5000,5.5000,5.5000,5.5000,610,5.5000,5.5000,5.5000,5.5000,200,5.4900,5.4900,5.4900,5.4900,190,5.5000,5.5000,5.5000,5.5000,100,5.4999,5.4999,5.4999,5.4999,300,5.5500,5.5500,5.5500,5.5500,1877,5.4300,5.4300,5.4100,5.4100,615,5.4600,5.4600,5.4500,5.4500,683,5.3100
5.4100,5.4400,5.3100,5.3100,8596,5.5000,5.5000,5.5000,5.5000,610,5.5000,5.5000,5.5000,5.5000,200,5.4900,5.4900,5.4900,5.4900,190,5.5000,5.5000,5.5000,5.5000,100,5.4999,5.4999,5.4999,5.4999,300,5.5500,5.5500,5.5500,5.5500,1877,5.4300,5.4300,5.4100,5.4100,615,5.4600,5.4600,5.4500,5.4500,683,5.4600,5.4600,5.4600,5.4600,589,5.3100
5.5000,5.5000,5.5000,5.5000,610,5.5000,5.5000,5.5000,5.5000,200,5.4900,5.4900,5.4900,5.4900,190,5.5000,5.5000,5.5000,5.5000,100,5.4999,5.4999,5.4999,5.4999,300,5.5500,5.5500,5.5500,5.5500,1877,5.4300,5.4300,5.4100,5.4100,615,5.4600,5.4600,5.4500,5.4500,683,5.4600,5.4600,5.4600,5.4600,589,5.4600,5.4600,5.4600,5.4600,400,5.4100
5.5000,5.5000,5.5000,5.5000,200,5.4900,5.4900,5.4900,5.4900,190,5.5000,5.5000,5.5000,5.5000,100,5.4999,5.4999,5.4999,5.4999,300,5.5500,5.5500,5.5500,5.5500,1877,5.4300,5.4300,5.4100,5.4100,615,5.4600,5.4600,5.4500,5.4500,683,5.4600,5.4600,5.4600,5.4600,589,5.4600,5.4600,5.4600,5.4600,400,5.4800,5.4800,5.4800,5.4800,100,5.5000
5.4900,5.4900,5.4900,5.4900,190,5.5000,5.5000,5.5000,5.5000,100,5.4999,5.4999,5.4999,5.4999,300,5.5500,5.5500,5.5500,5.5500,1877,5.4300,5.4300,5.4100,5.4100,615,5.4600,5.4600,5.4500,5.4500,683,5.4600,5.4600,5.4600,5.4600,589,5.4600,5.4600,5.4600,5.4600,400,5.4800,5.4800,5.4800,5.4800,100,5.5000,5.5000,5.5000,5.5000,5005,5.5000
5.5000,5.5000,5.5000,5.5000,100,5.4999,5.4999,5.4999,5.4999,300,5.5500,5.5500,5.5500,5.5500,1877,5.4300,5.4300,5.4100,5.4100,615,5.4600,5.4600,5.4500,5.4500,683,5.4600,5.4600,5.4600,5.4600,589,5.4600,5.4600,5.4600,5.4600,400,5.4800,5.4800,5.4800,5.4800,100,5.5000,5.5000,5.5000,5.5000,5005,5.5000,5.5000,5.4999,5.4999,1150,5.4900
5.4999,5.4999,5.4999,5.4999,300,5.5500,5.5500,5.5500,5.5500,1877,5.4300,5.4300,5.4100,5.4100,615,5.4600,5.4600,5.4500,5.4500,683,5.4600,5.4600,5.4600,5.4600,589,5.4600,5.4600,5.4600,5.4600,400,5.4800,5.4800,5.4800,5.4800,100,5.5000,5.5000,5.5000,5.5000,5005,5.5000,5.5000,5.4999,5.4999,1150,5.4998,5.5000,5.4998,5.5000,3000,5.5000
5.5500,5.5500,5.5500,5.5500,1877,5.4300,5.4300,5.4100,5.4100,615,5.4600,5.4600,5.4500,5.4500,683,5.4600,5.4600,5.4600,5.4600,589,5.4600,5.4600,5.4600,5.4600,400,5.4800,5.4800,5.4800,5.4800,100,5.5000,5.5000,5.5000,5.5000,5005,5.5000,5.5000,5.4999,5.4999,1150,5.4998,5.5000,5.4998,5.5000,3000,5.4500,5.4900,5.4500,5.4900,504,5.4999
5.4300,5.4300,5.4100,5.4100,615,5.4600,5.4600,5.4500,5.4500,683,5.4600,5.4600,5.4600,5.4600,589,5.4600,5.4600,5.4600,5.4600,400,5.4800,5.4800,5.4800,5.4800,100,5.5000,5.5000,5.5000,5.5000,5005,5.5000,5.5000,5.4999,5.4999,1150,5.4998,5.5000,5.4998,5.5000,3000,5.4500,5.4900,5.4500,5.4900,504,5.4800,5.4800,5.4800,5.4800,230,5.5500
5.4600,5.4600,5.4500,5.4500,683,5.4600,5.4600,5.4600,5.4600,589,5.4600,5.4600,5.4600,5.4600,400,5.4800,5.4800,5.4800,5.4800,100,5.5000,5.5000,5.5000,5.5000,5005,5.5000,5.5000,5.4999,5.4999,1150,5.4998,5.5000,5.4998,5.5000,3000,5.4500,5.4900,5.4500,5.4900,504,5.4800,5.4800,5.4800,5.4800,230,5.5000,5.5000,5.5000,5.5000,100,5.4300
5.4600,5.4600,5.4600,5.4600,589,5.4600,5.4600,5.4600,5.4600,400,5.4800,5.4800,5.4800,5.4800,100,5.5000,5.5000,5.5000,5.5000,5005,5.5000,5.5000,5.4999,5.4999,1150,5.4998,5.5000,5.4998,5.5000,3000,5.4500,5.4900,5.4500,5.4900,504,5.4800,5.4800,5.4800,5.4800,230,5.5000,5.5000,5.5000,5.5000,100,5.5000,5.5000,5.5000,5.5000,350,5.4600
5.4600,5.4600,5.4600,5.4600,400,5.4800,5.4800,5.4800,5.4800,100,5.5000,5.5000,5.5000,5.5000,5005,5.5000,5.5000,5.4999,5.4999,1150,5.4998,5.5000,5.4998,5.5000,3000,5.4500,5.4900,5.4500,5.4900,504,5.4800,5.4800,5.4800,5.4800,230,5.5000,5.5000,5.5000,5.5000,100,5.5000,5.5000,5.5000,5.5000,350,5.4800,5.4800,5.4800,5.4800,510,5.4600
5.4800,5.4800,5.4800,5.4800,100,5.5000,5.5000,5.5000,5.5000,5005,5.5000,5.5000,5.4999,5.4999,1150,5.4998,5.5000,5.4998,5.5000,3000,5.4500,5.4900,5.4500,5.4900,504,5.4800,5.4800,5.4800,5.4800,230,5.5000,5.5000,5.5000,5.5000,100,5.5000,5.5000,5.5000,5.5000,350,5.4800,5.4800,5.4800,5.4800,510,5.5200,5.5200,5.5200,5.5200,500,5.4600
5.5000,5.5000,5.5000,5.5000,5005,5.5000,5.5000,5.4999,5.4999,1150,5.4998,5.5000,5.4998,5.5000,3000,5.4500,5.4900,5.4500,5.4900,504,5.4800,5.4800,5.4800,5.4800,230,5.5000,5.5000,5.5000,5.5000,100,5.5000,5.5000,5.5000,5.5000,350,5.4800,5.4800,5.4800,5.4800,510,5.5200,5.5200,5.5200,5.5200,500,5.5000,5.5200,5.5000,5.5200,1415,5.4800
5.5000,5.5000,5.4999,5.4999,1150,5.4998,5.5000,5.4998,5.5000,3000,5.4500,5.4900,5.4500,5.4900,504,5.4800,5.4800,5.4800,5.4800,230,5.5000,5.5000,5.5000,5.5000,100,5.5000,5.5000,5.5000,5.5000,350,5.4800,5.4800,5.4800,5.4800,510,5.5200,5.5200,5.5200,5.5200,500,5.5000,5.5200,5.5000,5.5200,1415,5.5198,5.5198,5.5198,5.5198,940,5.5000
5.4998,5.5000,5.4998,5.5000,3000,5.4500,5.4900,5.4500,5.4900,504,5.4800,5.4800,5.4800,5.4800,230,5.5000,5.5000,5.5000,5.5000,100,5.5000,5.5000,5.5000,5.5000,350,5.4800,5.4800,5.4800,5.4800,510,5.5200,5.5200,5.5200,5.5200,500,5.5000,5.5200,5.5000,5.5200,1415,5.5198,5.5198,5.5198,5.5198,940,5.5198,5.5198,5.5198,5.5198,1002,5.5000
5.4500,5.4900,5.4500,5.4900,504,5.4800,5.4800,5.4800,5.4800,230,5.5000,5.5000,5.5000,5.5000,100,5.5000,5.5000,5.5000,5.5000,350,5.4800,5.4800,5.4800,5.4800,510,5.5200,5.5200,5.5200,5.5200,500,5.5000,5.5200,5.5000,5.5200,1415,5.5198,5.5198,5.5198,5.5198,940,5.5198,5.5198,5.5198,5.5198,1002,5.5198,5.5198,5.5000,5.5000,523,5.4998
5.4800,5.4800,5.4800,5.4800,230,5.5000,5.5000,5.5000,5.5000,100,5.5000,5.5000,5.5000,5.5000,350,5.4800,5.4800,5.4800,5.4800,510,5.5200,5.5200,5.5200,5.5200,500,5.5000,5.5200,5.5000,5.5200,1415,5.5198,5.5198,5.5198,5.5198,940,5.5198,5.5198,5.5198,5.5198,1002,5.5198,5.5198,5.5000,5.5000,523,5.5000,5.5000,5.5000,5.5000,100,5.4500
5.5000,5.5000,5.5000,5.5000,100,5.5000,5.5000,5.5000,5.5000,350,5.4800,5.4800,5.4800,5.4800,510,5.5200,5.5200,5.5200,5.5200,500,5.5000,5.5200,5.5000,5.5200,1415,5.5198,5.5198,5.5198,5.5198,940,5.5198,5.5198,5.5198,5.5198,1002,5.5198,5.5198,5.5000,5.5000,523,5.5000,5.5000,5.5000,5.5000,100,5.5400,5.5400,5.5400,5.5400,162,5.4800
5.5000,5.5000,5.5000,5.5000,350,5.4800,5.4800,5.4800,5.4800,510,5.5200,5.5200,5.5200,5.5200,500,5.5000,5.5200,5.5000,5.5200,1415,5.5198,5.5198,5.5198,5.5198,940,5.5198,5.5198,5.5198,5.5198,1002,5.5198,5.5198,5.5000,5.5000,523,5.5000,5.5000,5.5000,5.5000,100,5.5400,5.5400,5.5400,5.5400,162,5.5500,5.5500,5.5500,5.5500,2676,5.5000
5.4800,5.4800,5.4800,5.4800,510,5.5200,5.5200,5.5200,5.5200,500,5.5000,5.5200,5.5000,5.5200,1415,5.5198,5.5198,5.5198,5.5198,940,5.5198,5.5198,5.5198,5.5198,1002,5.5198,5.5198,5.5000,5.5000,523,5.5000,5.5000,5.5000,5.5000,100,5.5400,5.5400,5.5400,5.5400,162,5.5500,5.5500,5.5500,5.5500,2676,5.5500,5.5500,5.5500,5.5500,198,5.5000
5.5200,5.5200,5.5200,5.5200,500,5.5000,5.5200,5.5000,5.5200,1415,5.5198,5.5198,5.5198,5.5198,940,5.5198,5.5198,5.5198,5.5198,1002,5.5198,5.5198,5.5000,5.5000,523,5.5000,5.5000,5.5000,5.5000,100,5.5400,5.5400,5.5400,5.5400,162,5.5500,5.5500,5.5500,5.5500,2676,5.5500,5.5500,5.5500,5.5500,198,5.5800,5.5800,5.5500,5.5500,528,5.4800
5.5000,5.5200,5.5000,5.5200,1415,5.5198,5.5198,5.5198,5.5198,940,5.5198,5.5198,5.5198,5.5198,1002,5.5198,5.5198,5.5000,5.5000,523,5.5000,5.5000,5.5000,5.5000,100,5.5400,5.5400,5.5400,5.5400,162,5.5500,5.5500,5.5500,5.5500,2676,5.5500,5.5500,5.5500,5.5500,198,5.5800,5.5800,5.5500,5.5500,528,5.5800,5.5800,5.5800,5.5800,125,5.5200
5.5198,5.5198,5.5198,5.5198,940,5.5198,5.5198,5.5198,5.5198,1002,5.5198,5.5198,5.5000,5.5000,523,5.5000,5.5000,5.5000,5.5000,100,5.5400,5.5400,5.5400,5.5400,162,5.5500,5.5500,5.5500,5.5500,2676,5.5500,5.5500,5.5500,5.5500,198,5.5800,5.5800,5.5500,5.5500,528,5.5800,5.5800,5.5800,5.5800,125,5.6000,5.6000,5.6000,5.6000,442,5.5000
5.5198,5.5198,5.5198,5.5198,1002,5.5198,5.5198,5.5000,5.5000,523,5.5000,5.5000,5.5000,5.5000,100,5.5400,5.5400,5.5400,5.5400,162,5.5500,5.5500,5.5500,5.5500,2676,5.5500,5.5500,5.5500,5.5500,198,5.5800,5.5800,5.5500,5.5500,528,5.5800,5.5800,5.5800,5.5800,125,5.6000,5.6000,5.6000,5.6000,442,5.5600,5.5800,5.5600,5.5800,323,5.5198
5.5198,5.5198,5.5000,5.5000,523,5.5000,5.5000,5.5000,5.5000,100,5.5400,5.5400,5.5400,5.5400,162,5.5500,5.5500,5.5500,5.5500,2676,5.5500,5.5500,5.5500,5.5500,198,5.5800,5.5800,5.5500,5.5500,528,5.5800,5.5800,5.5800,5.5800,125,5.6000,5.6000,5.6000,5.6000,442,5.5600,5.5800,5.5600,5.5800,323,5.6200,5.6200,5.5500,5.5500,5462,5.5198
5.5000,5.5000,5.5000,5.5000,100,5.5400,5.5400,5.5400,5.5400,162,5.5500,5.5500,5.5500,5.5500,2676,5.5500,5.5500,5.5500,5.5500,198,5.5800,5.5800,5.5500,5.5500,528,5.5800,5.5800,5.5800,5.5800,125,5.6000,5.6000,5.6000,5.6000,442,5.5600,5.5800,5.5600,5.5800,323,5.6200,5.6200,5.5500,5.5500,5462,5.6200,5.6450,5.6200,5.6450,501,5.5198
5.5400,5.5400,5.5400,5.5400,162,5.5500,5.5500,5.5500,5.5500,2676,5.5500,5.5500,5.5500,5.5500,198,5.5800,5.5800,5.5500,5.5500,528,5.5800,5.5800,5.5800,5.5800,125,5.6000,5.6000,5.6000,5.6000,442,5.5600,5.5800,5.5600,5.5800,323,5.6200,5.6200,5.5500,5.5500,5462,5.6200,5.6450,5.6200,5.6450,501,5.6199,5.6199,5.6199,5.6199,200,5.5000
5.5500,5.5500,5.5500,5.5500,2676,5.5500,5.5500,5.5500,5.5500,198,5.5800,5.5800,5.5500,5.5500,528,5.5800,5.5800,5.5800,5.5800,125,5.6000,5.6000,5.6000,5.6000,442,5.5600,5.5800,5.5600,5.5800,323,5.6200,5.6200,5.5500,5.5500,5462,5.6200,5.6450,5.6200,5.6450,501,5.6199,5.6199,5.6199,5.6199,200,5.6100,5.6100,5.6100,5.6100,145,5.5400
5.5500,5.5500,5.5500,5.5500,198,5.5800,5.5800,5.5500,5.5500,528,5.5800,5.5800,5.5800,5.5800,125,5.6000,5.6000,5.6000,5.6000,442,5.5600,5.5800,5.5600,5.5800,323,5.6200,5.6200,5.5500,5.5500,5462,5.6200,5.6450,5.6200,5.6450,501,5.6199,5.6199,5.6199,5.6199,200,5.6100,5.6100,5.6100,5.6100,145,5.6100,5.6100,5.6100,5.6100,1200,5.5500
5.5800,5.5800,5.5500,5.5500,528,5.5800,5.5800,5.5800,5.5800,125,5.6000,5.6000,5.6000,5.6000,442,5.5600,5.5800,5.5600,5.5800,323,5.6200,5.6200,5.5500,5.5500,5462,5.6200,5.6450,5.6200,5.6450,501,5.6199,5.6199,5.6199,5.6199,200,5.6100,5.6100,5.6100,5.6100,145,5.6100,5.6100,5.6100,5.6100,1200,5.6200,5.6200,5.6200,5.6200,250,5.5500
5.5800,5.5800,5.5800,5.5800,125,5.6000,5.6000,5.6000,5.6000,442,5.5600,5.5800,5.5600,5.5800,323,5.6200,5.6200,5.5500,5.5500,5462,5.6200,5.6450,5.6200,5.6450,501,5.6199,5.6199,5.6199,5.6199,200,5.6100,5.6100,5.6100,5.6100,145,5.6100,5.6100,5.6100,5.6100,1200,5.6200,5.6200,5.6200,5.6200,250,5.6084,5.6100,5.6084,5.6100,1906,5.5800
5.6000,5.6000,5.6000,5.6000,442,5.5600,5.5800,5.5600,5.5800,323,5.6200,5.6200,5.5500,5.5500,5462,5.6200,5.6450,5.6200,5.6450,501,5.6199,5.6199,5.6199,5.6199,200,5.6100,5.6100,5.6100,5.6100,145,5.6100,5.6100,5.6100,5.6100,1200,5.6200,5.6200,5.6200,5.6200,250,5.6084,5.6100,5.6084,5.6100,1906,5.5501,5.6000,5.5501,5.6000,1100,5.5800
5.5600,5.5800,5.5600,5.5800,323,5.6200,5.6200,5.5500,5.5500,5462,5.6200,5.6450,5.6200,5.6450,501,5.6199,5.6199,5.6199,5.6199,200,5.6100,5.6100,5.6100,5.6100,145,5.6100,5.6100,5.6100,5.6100,1200,5.6200,5.6200,5.6200,5.6200,250,5.6084,5.6100,5.6084,5.6100,1906,5.5501,5.6000,5.5501,5.6000,1100,5.5999,5.5999,5.5999,5.5999,110,5.6000
5.6200,5.6200,5.5500,5.5500,5462,5.6200,5.6450,5.6200,5.6450,501,5.6199,5.6199,5.6199,5.6199,200,5.6100,5.6100,5.6100,5.6100,145,5.6100,5.6100,5.6100,5.6100,1200,5.6200,5.6200,5.6200,5.6200,250,5.6084,5.6100,5.6084,5.6100,1906,5.5501,5.6000,5.5501,5.6000,1100,5.5999,5.5999,5.5999,5.5999,110,5.6000,5.6000,5.5900,5.5900,920,5.5600
5.6200,5.6450,5.6200,5.6450,501,5.6199,5.6199,5.6199,5.6199,200,5.6100,5.6100,5.6100,5.6100,145,5.6100,5.6100,5.6100,5.6100,1200,5.6200,5.6200,5.6200,5.6200,250,5.6084,5.6100,5.6084,5.6100,1906,5.5501,5.6000,5.5501,5.6000,1100,5.5999,5.5999,5.5999,5.5999,110,5.6000,5.6000,5.5900,5.5900,920,5.6000,5.6000,5.6000,5.6000,500,5.6200
5.6199,5.6199,5.6199,5.6199,200,5.6100,5.6100,5.6100,5.6100,145,5.6100,5.6100,5.6100,5.6100,1200,5.6200,5.6200,5.6200,5.6200,250,5.6084,5.6100,5.6084,5.6100,1906,5.5501,5.6000,5.5501,5.6000,1100,5.5999,5.5999,5.5999,5.5999,110,5.6000,5.6000,5.5900,5.5900,920,5.6000,5.6000,5.6000,5.6000,500,5.5999,5.5999,5.5500,5.5500,650,5.6200
5.6100,5.6100,5.6100,5.6100,145,5.6100,5.6100,5.6100,5.6100,1200,5.6200,5.6200,5.6200,5.6200,250,5.6084,5.6100,5.6084,5.6100,1906,5.5501,5.6000,5.5501,5.6000,1100,5.5999,5.5999,5.5999,5.5999,110,5.6000,5.6000,5.5900,5.5900,920,5.6000,5.6000,5.6000,5.6000,500,5.5999,5.5999,5.5500,5.5500,650,5.5000,5.5873,5.5000,5.5873,2540,5.6199
5.6100,5.6100,5.6100,5.6100,1200,5.6200,5.6200,5.6200,5.6200,250,5.6084,5.6100,5.6084,5.6100,1906,5.5501,5.6000,5.5501,5.6000,1100,5.5999,5.5999,5.5999,5.5999,110,5.6000,5.6000,5.5900,5.5900,920,5.6000,5.6000,5.6000,5.6000,500,5.5999,5.5999,5.5500,5.5500,650,5.5000,5.5873,5.5000,5.5873,2540,5.4800,5.4800,5.4800,5.4800,317,5.6100
5.6200,5.6200,5.6200,5.6200,250,5.6084,5.6100,5.6084,5.6100,1906,5.5501,5.6000,5.5501,5.6000,1100,5.5999,5.5999,5.5999,5.5999,110,5.6000,5.6000,5.5900,5.5900,920,5.6000,5.6000,5.6000,5.6000,500,5.5999,5.5999,5.5500,5.5500,650,5.5000,5.5873,5.5000,5.5873,2540,5.4800,5.4800,5.4800,5.4800,317,5.4600,5.4600,5.4600,5.4600,2500,5.6100
5.6084,5.6100,5.6084,5.6100,1906,5.5501,5.6000,5.5501,5.6000,1100,5.5999,5.5999,5.5999,5.5999,110,5.6000,5.6000,5.5900,5.5900,920,5.6000,5.6000,5.6000,5.6000,500,5.5999,5.5999,5.5500,5.5500,650,5.5000,5.5873,5.5000,5.5873,2540,5.4800,5.4800,5.4800,5.4800,317,5.4600,5.4600,5.4600,5.4600,2500,5.4600,5.4600,5.4600,5.4600,1000,5.6200
5.5501,5.6000,5.5501,5.6000,1100,5.5999,5.5999,5.5999,5.5999,110,5.6000,5.6000,5.5900,5.5900,920,5.6000,5.6000,5.6000,5.6000,500,5.5999,5.5999,5.5500,5.5500,650,5.5000,5.5873,5.5000,5.5873,2540,5.4800,5.4800,5.4800,5.4800,317,5.4600,5.4600,5.4600,5.4600,2500,5.4600,5.4600,5.4600,5.4600,1000,5.4100,5.4100,5.4100,5.4100,500,5.6084
5.5999,5.5999,5.5999,5.5999,110,5.6000,5.6000,5.5900,5.5900,920,5.6000,5.6000,5.6000,5.6000,500,5.5999,5.5999,5.5500,5.5500,650,5.5000,5.5873,5.5000,5.5873,2540,5.4800,5.4800,5.4800,5.4800,317,5.4600,5.4600,5.4600,5.4600,2500,5.4600,5.4600,5.4600,5.4600,1000,5.4100,5.4100,5.4100,5.4100,500,5.4650,5.4650,5.4300,5.4500,15678,5.5501
5.6000,5.6000,5.5900,5.5900,920,5.6000,5.6000,5.6000,5.6000,500,5.5999,5.5999,5.5500,5.5500,650,5.5000,5.5873,5.5000,5.5873,2540,5.4800,5.4800,5.4800,5.4800,317,5.4600,5.4600,5.4600,5.4600,2500,5.4600,5.4600,5.4600,5.4600,1000,5.4100,5.4100,5.4100,5.4100,500,5.4650,5.4650,5.4300,5.4500,15678,5.4800,5.4800,5.4300,5.4550,15556,5.5999
5.6000,5.6000,5.6000,5.6000,500,5.5999,5.5999,5.5500,5.5500,650,5.5000,5.5873,5.5000,5.5873,2540,5.4800,5.4800,5.4800,5.4800,317,5.4600,5.4600,5.4600,5.4600,2500,5.4600,5.4600,5.4600,5.4600,1000,5.4100,5.4100,5.4100,5.4100,500,5.4650,5.4650,5.4300,5.4500,15678,5.4800,5.4800,5.4300,5.4550,15556,5.5000,5.5000,5.4800,5.4850,6167,5.6000
