open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
3.1900,3.1900,3.1900,3.1900,299,3.1900,3.1900,3.1900,3.1900,201,3.1800,3.2000,3.1800,3.2000,800,3.2000,3.2000,3.2000,3.2000,309,3.2000,3.2000,3.2000,3.2000,101,3.2000,3.2000,3.2000,3.2000,4570,3.2000,3.2000,3.2000,3.2000,300,3.2000,3.2000,3.2000,3.2000,3001,3.2000,3.2000,3.2000,3.2000,5235,3.2000,3.2000,3.2000,3.2000,1000,3.1900
3.1900,3.1900,3.1900,3.1900,201,3.1800,3.2000,3.1800,3.2000,800,3.2000,3.2000,3.2000,3.2000,309,3.2000,3.2000,3.2000,3.2000,101,3.2000,3.2000,3.2000,3.2000,4570,3.2000,3.2000,3.2000,3.2000,300,3.2000,3.2000,3.2000,3.2000,3001,3.2000,3.2000,3.2000,3.2000,5235,3.2000,3.2000,3.2000,3.2000,1000,3.1900,3.1900,3.1900,3.1900,1000,3.1900
3.1800,3.2000,3.1800,3.2000,800,3.2000,3.2000,3.2000,3.2000,309,3.2000,3.2000,3.2000,3.2000,101,3.2000,3.2000,3.2000,3.2000,4570,3.2000,3.2000,3.2000,3.2000,300,3.2000,3.2000,3.2000,3.2000,3001,3.2000,3.2000,3.2000,3.2000,5235,3.2000,3.2000,3.2000,3.2000,1000,3.1900,3.1900,3.1900,3.1900,1000,3.1800,3.2000,3.1800,3.2000,1525,3.1900
3.2000,3.2000,3.2000,3.2000,309,3.2000,3.2000,3.2000,3.2000,101,3.2000,3.2000,3.2000,3.2000,4570,3.2000,3.2000,3.2000,3.2000,300,3.2000,3.2000,3.2000,3.2000,3001,3.2000,3.2000,3.2000,3.2000,5235,3.2000,3.2000,3.2000,3.2000,1000,3.1900,3.1900,3.1900,3.1900,1000,3.1800,3.2000,3.1800,3.2000,1525,3.1800,3.1800,3.1800,3.1800,597,3.1800
3.2000,3.2000,3.2000,3.2000,101,3.2000,3.2000,3.2000,3.2000,4570,3.2000,3.2000,3.2000,3.2000,300,3.2000,3.2000,3.2000,3.2000,3001,3.2000,3.2000,3.2000,3.2000,5235,3.2000,3.2000,3.2000,3.2000,1000,3.1900,3.1900,3.1900,3.1900,1000,3.1800,3.2000,3.1800,3.2000,1525,3.1800,3.1800,3.1800,3.1800,597,3.1900,3.1900,3.1800,3.1800,598,3.2000
3.2000,3.2000,3.2000,3.2000,4570,3.2000,3.2000,3.2000,3.2000,300,3.2000,3.2000,3.2000,3.2000,3001,3.2000,3.2000,3.2000,3.2000,5235,3.2000,3.2000,3.2000,3.2000,1000,3.1900,3.1900,3.1900,3.1900,1000,3.1800,3.2000,3.1800,3.2000,1525,3.1800,3.1800,3.1800,3.1800,597,3.1900,3.1900,3.1800,3.1800,598,3.1800,3.1800,3.1800,3.1800,1050,3.2000
3.2000,3.2000,3.2000,3.2000,300,3.2000,3.2000,3.2000,3.2000,3001,3.2000,3.2000,3.2000,3.2000,5235,3.2000,3.2000,3.2000,3.2000,1000,3.1900,3.1900,3.1900,3.1900,1000,3.1800,3.2000,3.1800,3.2000,1525,3.1800,3.1800,3.1800,3.1800,597,3.1900,3.1900,3.1800,3.1800,598,3.1800,3.1800,3.1800,3.1800,1050,3.2000,3.2000,3.2000,3.2000,2148,3.2000
3.2000,3.2000,3.2000,3.2000,3001,3.2000,3.2000,3.2000,3.2000,5235,3.2000,3.2000,3.2000,3.2000,1000,3.1900,3.1900,3.1900,3.1900,1000,3.1800,3.2000,3.1800,3.2000,1525,3.1800,3.1800,3.1800,3.1800,597,3.1900,3.1900,3.1800,3.1800,598,3.1800,3.1800,3.1800,3.1800,1050,3.2000,3.2000,3.2000,3.2000,2148,3.2300,3.2300,3.2300,3.2300,1444,3.2000
3.2000,3.2000,3.2000,3.2000,5235,3.2000,3.2000,3.2000,3.2000,1000,3.1900,3.1900,3.1900,3.1900,1000,3.1800,3.2000,3.1800,3.2000,1525,3.1800,3.1800,3.1800,3.1800,597,3.1900,3.1900,3.1800,3.1800,598,3.1800,3.1800,3.1800,3.1800,1050,3.2000,3.2000,3.2000,3.2000,2148,3.2300,3.2300,3.2300,3.2300,1444,3.2400,3.2400,3.2400,3.2400,154,3.2000
3.2000,3.2000,3.2000,3.2000,1000,3.1900,3.1900,3.1900,3.1900,1000,3.1800,3.2000,3.1800,3.2000,1525,3.1800,3.1800,3.1800,3.1800,597,3.1900,3.1900,3.1800,3.1800,598,3.1800,3.1800,3.1800,3.1800,1050,3.2000,3.2000,3.2000,3.2000,2148,3.2300,3.2300,3.2300,3.2300,1444,3.2400,3.2400,3.2400,3.2400,154,3.2400,3.2400,3.2400,3.2400,100,3.2000
