open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
1.8300,1.8300,1.8300,1.8300,100,1.8300,1.8300,1.8300,1.8300,100,1.8200,1.8200,1.8200,1.8200,150,1.8199,1.8199,1.8199,1.8199,3000,1.8100,1.8100,1.8100,1.8100,852,1.8200,1.8200,1.8200,1.8200,761,1.8100,1.8100,1.8100,1.8100,702,1.8100,1.8100,1.8100,1.8100,7000,1.7800,1.7800,1.7800,1.7800,270,1.7800,1.7800,1.7800,1.7800,125,1.8300
1.8300,1.8300,1.8300,1.8300,100,1.8200,1.8200,1.8200,1.8200,150,1.8199,1.8199,1.8199,1.8199,3000,1.8100,1.8100,1.8100,1.8100,852,1.8200,1.8200,1.8200,1.8200,761,1.8100,1.8100,1.8100,1.8100,702,1.8100,1.8100,1.8100,1.8100,7000,1.7800,1.7800,1.7800,1.7800,270,1.7800,1.7800,1.7800,1.7800,125,1.7800,1.7800,1.7800,1.7800,4000,1.8300
1.8200,1.8200,1.8200,1.8200,150,1.8199,1.8199,1.8199,1.8199,3000,1.8100,1.8100,1.8100,1.8100,852,1.8200,1.8200,1.8200,1.8200,761,1.8100,1.8100,1.8100,1.8100,702,1.8100,1.8100,1.8100,1.8100,7000,1.7800,1.7800,1.7800,1.7800,270,1.7800,1.7800,1.7800,1.7800,125,1.7800,1.7800,1.7800,1.7800,4000,1.7800,1.7800,1.7800,1.7800,100,1.8300
1.8199,1.8199,1.8199,1.8199,3000,1.8100,1.8100,1.8100,1.8100,852,1.8200,1.8200,1.8200,1.8200,761,1.8100,1.8100,1.8100,1.8100,702,1.8100,1.8100,1.8100,1.8100,7000,1.7800,1.7800,1.7800,1.7800,270,1.7800,1.7800,1.7800,1.7800,125,1.7800,1.7800,1.7800,1.7800,4000,1.7800,1.7800,1.7800,1.7800,100,1.7700,1.7700,1.7700,1.7700,300,1.8200
1.8100,1.8100,1.8100,1.8100,852,1.8200,1.8200,1.8200,1.8200,761,1.8100,1.8100,1.8100,1.8100,702,1.8100,1.8100,1.8100,1.8100,7000,1.7800,1.7800,1.7800,1.7800,270,1.7800,1.7800,1.7800,1.7800,125,1.7800,1.7800,1.7800,1.7800,4000,1.7800,1.7800,1.7800,1.7800,100,1.7700,1.7700,1.7700,1.7700,300,1.7800,1.7800,1.7700,1.7700,1000,1.8199
1.8200,1.8200,1.8200,1.8200,761,1.8100,1.8100,1.8100,1.8100,702,1.8100,1.8100,1.8100,1.8100,7000,1.7800,1.7800,1.7800,1.7800,270,1.7800,1.7800,1.7800,1.7800,125,1.7800,1.7800,1.7800,1.7800,4000,1.7800,1.7800,1.7800,1.7800,100,1.7700,1.7700,1.7700,1.7700,300,1.7800,1.7800,1.7700,1.7700,1000,1.8000,1.8000,1.7800,1.7800,6500,1.8100
1.8100,1.8100,1.8100,1.8100,702,1.8100,1.8100,1.8100,1.8100,7000,1.7800,1.7800,1.7800,1.7800,270,1.7800,1.7800,1.7800,1.7800,125,1.7800,1.7800,1.7800,1.7800,4000,1.7800,1.7800,1.7800,1.7800,100,1.7700,1.7700,1.7700,1.7700,300,1.7800,1.7800,1.7700,1.7700,1000,1.8000,1.8000,1.7800,1.7800,6500,1.8000,1.8000,1.8000,1.8000,2500,1.8200
1.8100,1.8100,1.8100,1.8100,7000,1.7800,1.7800,1.7800,1.7800,270,1.7800,1.7800,1.7800,1.7800,125,1.7800,1.7800,1.7800,1.7800,4000,1.7800,1.7800,1.7800,1.7800,100,1.7700,1.7700,1.7700,1.7700,300,1.7800,1.7800,1.7700,1.7700,1000,1.8000,1.8000,1.7800,1.7800,6500,1.8000,1.8000,1.8000,1.8000,2500,1.8000,1.8000,1.8000,1.8000,1000,1.8100
1.7800,1.7800,1.7800,1.7800,270,1.7800,1.7800,1.7800,1.7800,125,1.7800,1.7800,1.7800,1.7800,4000,1.7800,1.7800,1.7800,1.7800,100,1.7700,1.7700,1.7700,1.7700,300,1.7800,1.7800,1.7700,1.7700,1000,1.8000,1.8000,1.7800,1.7800,6500,1.8000,1.8000,1.8000,1.8000,2500,1.8000,1.8000,1.8000,1.8000,1000,1.8000,1.8000,1.8000,1.8000,1000,1.8100
1.7800,1.7800,1.7800,1.7800,125,1.7800,1.7800,1.7800,1.7800,4000,1.7800,1.7800,1.7800,1.7800,100,1.7700,1.7700,1.7700,1.7700,300,1.7800,1.7800,1.7700,1.7700,1000,1.8000,1.8000,1.7800,1.7800,6500,1.8000,1.8000,1.8000,1.8000,2500,1.8000,1.8000,1.8000,1.8000,1000,1.8000,1.8000,1.8000,1.8000,1000,1.8000,1.8000,1.8000,1.8000,114,1.7800
