open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
20.0700,20.0700,20.0700,20.0700,200,20.0700,20.0700,20.0700,20.0700,100,20.1700,20.1700,20.1700,20.1700,612,20.0600,20.0600,20.0600,20.0600,126,20.0100,20.0100,20.0100,20.0100,100,20.0100,20.0100,20.0100,20.0100,100,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0700,20.0600,20.0700,300,20.0000,20.0000,20.0000,20.0000,1700,20.0600
20.0700,20.0700,20.0700,20.0700,100,20.1700,20.1700,20.1700,20.1700,612,20.0600,20.0600,20.0600,20.0600,126,20.0100,20.0100,20.0100,20.0100,100,20.0100,20.0100,20.0100,20.0100,100,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0700,20.0600,20.0700,300,20.0000,20.0000,20.0000,20.0000,1700,20.0600,20.0600,20.0600,20.0600,300,20.0700
20.1700,20.1700,20.1700,20.1700,612,20.0600,20.0600,20.0600,20.0600,126,20.0100,20.0100,20.0100,20.0100,100,20.0100,20.0100,20.0100,20.0100,100,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0700,20.0600,20.0700,300,20.0000,20.0000,20.0000,20.0000,1700,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,200,20.0700
20.0600,20.0600,20.0600,20.0600,126,20.0100,20.0100,20.0100,20.0100,100,20.0100,20.0100,20.0100,20.0100,100,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0700,20.0600,20.0700,300,20.0000,20.0000,20.0000,20.0000,1700,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,200,20.0400,20.0400,20.0400,20.0400,220,20.1700
20.0100,20.0100,20.0100,20.0100,100,20.0100,20.0100,20.0100,20.0100,100,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0700,20.0600,20.0700,300,20.0000,20.0000,20.0000,20.0000,1700,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,200,20.0400,20.0400,20.0400,20.0400,220,20.1100,20.1100,20.0969,20.0969,1000,20.0600
20.0100,20.0100,20.0100,20.0100,100,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0700,20.0600,20.0700,300,20.0000,20.0000,20.0000,20.0000,1700,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,200,20.0400,20.0400,20.0400,20.0400,220,20.1100,20.1100,20.0969,20.0969,1000,20.0300,20.0300,20.0300,20.0300,250,20.0100
20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0700,20.0600,20.0700,300,20.0000,20.0000,20.0000,20.0000,1700,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,200,20.0400,20.0400,20.0400,20.0400,220,20.1100,20.1100,20.0969,20.0969,1000,20.0300,20.0300,20.0300,20.0300,250,20.0699,20.0699,20.0699,20.0699,1100,20.0100
20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0700,20.0600,20.0700,300,20.0000,20.0000,20.0000,20.0000,1700,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,200,20.0400,20.0400,20.0400,20.0400,220,20.1100,20.1100,20.0969,20.0969,1000,20.0300,20.0300,20.0300,20.0300,250,20.0699,20.0699,20.0699,20.0699,1100,20.0600,20.0600,20.0600,20.0600,122672,20.0600
20.0600,20.0700,20.0600,20.0700,300,20.0000,20.0000,20.0000,20.0000,1700,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,200,20.0400,20.0400,20.0400,20.0400,220,20.1100,20.1100,20.0969,20.0969,1000,20.0300,20.0300,20.0300,20.0300,250,20.0699,20.0699,20.0699,20.0699,1100,20.0600,20.0600,20.0600,20.0600,122672,20.0600,20.0600,20.0600,20.0600,24264,20.0600
20.0000,20.0000,20.0000,20.0000,1700,20.0600,20.0600,20.0600,20.0600,300,20.0600,20.0600,20.0600,20.0600,200,20.0400,20.0400,20.0400,20.0400,220,20.1100,20.1100,20.0969,20.0969,1000,20.0300,20.0300,20.0300,20.0300,250,20.0699,20.0699,20.0699,20.0699,1100,20.0600,20.0600,20.0600,20.0600,122672,20.0600,20.0600,20.0600,20.0600,24264,20.0700,20.0700,20.0600,20.0600,34825,20.0600
