open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
40.3700,40.3700,40.3700,40.3700,437,40.3700,40.3799,40.3700,40.3799,355,40.1500,40.3400,40.0700,40.3400,622,40.3000,40.3000,40.1500,40.1500,612,40.0600,40.3799,40.0600,40.3799,1462,40.0200,40.0200,40.0200,40.0200,1171,40.1800,40.3000,40.1000,40.1000,1270,40.3900,40.3900,40.1001,40.3900,2083,40.1000,40.1000,40.1000,40.1000,217,40.0200,40.0200,40.0200,40.0200,679,40.1800
40.3700,40.3799,40.3700,40.3799,355,40.1500,40.3400,40.0700,40.3400,622,40.3000,40.3000,40.1500,40.1500,612,40.0600,40.3799,40.0600,40.3799,1462,40.0200,40.0200,40.0200,40.0200,1171,40.1800,40.3000,40.1000,40.1000,1270,40.3900,40.3900,40.1001,40.3900,2083,40.1000,40.1000,40.1000,40.1000,217,40.0200,40.0200,40.0200,40.0200,679,40.4000,40.4000,40.1000,40.1000,1102,40.3700
40.1500,40.3400,40.0700,40.3400,622,40.3000,40.3000,40.1500,40.1500,612,40.0600,40.3799,40.0600,40.3799,1462,40.0200,40.0200,40.0200,40.0200,1171,40.1800,40.3000,40.1000,40.1000,1270,40.3900,40.3900,40.1001,40.3900,2083,40.1000,40.1000,40.1000,40.1000,217,40.0200,40.0200,40.0200,40.0200,679,40.4000,40.4000,40.1000,40.1000,1102,40.4100,40.4100,40.4100,40.4100,3018,40.3700
40.3000,40.3000,40.1500,40.1500,612,40.0600,40.3799,40.0600,40.3799,1462,40.0200,40.0200,40.0200,40.0200,1171,40.1800,40.3000,40.1000,40.1000,1270,40.3900,40.3900,40.1001,40.3900,2083,40.1000,40.1000,40.1000,40.1000,217,40.0200,40.0200,40.0200,40.0200,679,40.4000,40.4000,40.1000,40.1000,1102,40.4100,40.4100,40.4100,40.4100,3018,40.4100,40.4100,40.3000,40.3000,770,40.1500
40.0600,40.3799,40.0600,40.3799,1462,40.0200,40.0200,40.0200,40.0200,1171,40.1800,40.3000,40.1000,40.1000,1270,40.3900,40.3900,40.1001,40.3900,2083,40.1000,40.1000,40.1000,40.1000,217,40.0200,40.0200,40.0200,40.0200,679,40.4000,40.4000,40.1000,40.1000,1102,40.4100,40.4100,40.4100,40.4100,3018,40.4100,40.4100,40.3000,40.3000,770,40.3900,40.4100,40.3000,40.4100,2483,40.3000
40.0200,40.0200,40.0200,40.0200,1171,40.1800,40.3000,40.1000,40.1000,1270,40.3900,40.3900,40.1001,40.3900,2083,40.1000,40.1000,40.1000,40.1000,217,40.0200,40.0200,40.0200,40.0200,679,40.4000,40.4000,40.1000,40.1000,1102,40.4100,40.4100,40.4100,40.4100,3018,40.4100,40.4100,40.3000,40.3000,770,40.3900,40.4100,40.3000,40.4100,2483,40.4100,40.4100,40.4100,40.4100,150,40.0600
40.1800,40.3000,40.1000,40.1000,1270,40.3900,40.3900,40.1001,40.3900,2083,40.1000,40.1000,40.1000,40.1000,217,40.0200,40.0200,40.0200,40.0200,679,40.4000,40.4000,40.1000,40.1000,1102,40.4100,40.4100,40.4100,40.4100,3018,40.4100,40.4100,40.3000,40.3000,770,40.3900,40.4100,40.3000,40.4100,2483,40.4100,40.4100,40.4100,40.4100,150,40.3500,40.4100,40.3500,40.4100,220,40.0200
40.3900,40.3900,40.1001,40.3900,2083,40.1000,40.1000,40.1000,40.1000,217,40.0200,40.0200,40.0200,40.0200,679,40.4000,40.4000,40.1000,40.1000,1102,40.4100,40.4100,40.4100,40.4100,3018,40.4100,40.4100,40.3000,40.3000,770,40.3900,40.4100,40.3000,40.4100,2483,40.4100,40.4100,40.4100,40.4100,150,40.3500,40.4100,40.3500,40.4100,220,40.4400,40.4400,40.4400,40.4400,994,40.1800
40.1000,40.1000,40.1000,40.1000,217,40.0200,40.0200,40.0200,40.0200,679,40.4000,40.4000,40.1000,40.1000,1102,40.4100,40.4100,40.4100,40.4100,3018,40.4100,40.4100,40.3000,40.3000,770,40.3900,40.4100,40.3000,40.4100,2483,40.4100,40.4100,40.4100,40.4100,150,40.3500,40.4100,40.3500,40.4100,220,40.4400,40.4400,40.4400,40.4400,994,40.3000,40.3000,40.2800,40.3000,520,40.3900
40.0200,40.0200,40.0200,40.0200,679,40.4000,40.4000,40.1000,40.1000,1102,40.4100,40.4100,40.4100,40.4100,3018,40.4100,40.4100,40.3000,40.3000,770,40.3900,40.4100,40.3000,40.4100,2483,40.4100,40.4100,40.4100,40.4100,150,40.3500,40.4100,40.3500,40.4100,220,40.4400,40.4400,40.4400,40.4400,994,40.3000,40.3000,40.2800,40.3000,520,40.5000,40.5000,39.9400,39.9400,1556,40.1000
40.4000,40.4000,40.1000,40.1000,1102,40.4100,40.4100,40.4100,40.4100,3018,40.4100,40.4100,40.3000,40.3000,770,40.3900,40.4100,40.3000,40.4100,2483,40.4100,40.4100,40.4100,40.4100,150,40.3500,40.4100,40.3500,40.4100,220,40.4400,40.4400,40.4400,40.4400,994,40.3000,40.3000,40.2800,40.3000,520,40.5000,40.5000,39.9400,39.9400,1556,39.9600,39.9600,39.9400,39.9400,850,40.0200
40.4100,40.4100,40.4100,40.4100,3018,40.4100,40.4100,40.3000,40.3000,770,40.3900,40.4100,40.3000,40.4100,2483,40.4100,40.4100,40.4100,40.4100,150,40.3500,40.4100,40.3500,40.4100,220,40.4400,40.4400,40.4400,40.4400,994,40.3000,40.3000,40.2800,40.3000,520,40.5000,40.5000,39.9400,39.9400,1556,39.9600,39.9600,39.9400,39.9400,850,40.0300,40.0300,39.9600,39.9600,2611,40.4000
40.4100,40.4100,40.3000,40.3000,770,40.3900,40.4100,40.3000,40.4100,2483,40.4100,40.4100,40.4100,40.4100,150,40.3500,40.4100,40.3500,40.4100,220,40.4400,40.4400,40.4400,40.4400,994,40.3000,40.3000,40.2800,40.3000,520,40.5000,40.5000,39.9400,39.9400,1556,39.9600,39.9600,39.9400,39.9400,850,40.0300,40.0300,39.9600,39.9600,2611,40.3200,40.3200,40.1000,40.1000,1506,40.4100
