open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
5.8900,5.8900,5.8700,5.8900,1672,5.8600,5.8700,5.8600,5.8700,1112,5.8600,5.8900,5.8600,5.8750,2229,5.8600,5.8600,5.8550,5.8550,561,5.8600,5.8700,5.8500,5.8600,2583,5.8600,5.8600,5.8600,5.8600,652,5.8700,5.8700,5.8600,5.8600,1120,5.8700,5.8700,5.8700,5.8700,110,5.8600,5.8800,5.8500,5.8500,5958,5.8600,5.8600,5.8600,5.8600,325,5.8800
5.8600,5.8700,5.8600,5.8700,1112,5.8600,5.8900,5.8600,5.8750,2229,5.8600,5.8600,5.8550,5.8550,561,5.8600,5.8700,5.8500,5.8600,2583,5.8600,5.8600,5.8600,5.8600,652,5.8700,5.8700,5.8600,5.8600,1120,5.8700,5.8700,5.8700,5.8700,110,5.8600,5.8800,5.8500,5.8500,5958,5.8600,5.8600,5.8600,5.8600,325,5.8600,5.8600,5.8600,5.8600,304,5.8900
5.8600,5.8900,5.8600,5.8750,2229,5.8600,5.8600,5.8550,5.8550,561,5.8600,5.8700,5.8500,5.8600,2583,5.8600,5.8600,5.8600,5.8600,652,5.8700,5.8700,5.8600,5.8600,1120,5.8700,5.8700,5.8700,5.8700,110,5.8600,5.8800,5.8500,5.8500,5958,5.8600,5.8600,5.8600,5.8600,325,5.8600,5.8600,5.8600,5.8600,304,5.8400,5.8600,5.8400,5.8600,5499,5.8600
5.8600,5.8600,5.8550,5.8550,561,5.8600,5.8700,5.8500,5.8600,2583,5.8600,5.8600,5.8600,5.8600,652,5.8700,5.8700,5.8600,5.8600,1120,5.8700,5.8700,5.8700,5.8700,110,5.8600,5.8800,5.8500,5.8500,5958,5.8600,5.8600,5.8600,5.8600,325,5.8600,5.8600,5.8600,5.8600,304,5.8400,5.8600,5.8400,5.8600,5499,5.8500,5.8500,5.8400,5.8400,411,5.8600
5.8600,5.8700,5.8500,5.8600,2583,5.8600,5.8600,5.8600,5.8600,652,5.8700,5.8700,5.8600,5.8600,1120,5.8700,5.8700,5.8700,5.8700,110,5.8600,5.8800,5.8500,5.8500,5958,5.8600,5.8600,5.8600,5.8600,325,5.8600,5.8600,5.8600,5.8600,304,5.8400,5.8600,5.8400,5.8600,5499,5.8500,5.8500,5.8400,5.8400,411,5.8400,5.8400,5.8400,5.8400,230,5.8600
5.8600,5.8600,5.8600,5.8600,652,5.8700,5.8700,5.8600,5.8600,1120,5.8700,5.8700,5.8700,5.8700,110,5.8600,5.8800,5.8500,5.8500,5958,5.8600,5.8600,5.8600,5.8600,325,5.8600,5.8600,5.8600,5.8600,304,5.8400,5.8600,5.8400,5.8600,5499,5.8500,5.8500,5.8400,5.8400,411,5.8400,5.8400,5.8400,5.8400,230,5.8400,5.8400,5.8400,5.8400,100,5.8600
5.8700,5.8700,5.8600,5.8600,1120,5.8700,5.8700,5.8700,5.8700,110,5.8600,5.8800,5.8500,5.8500,5958,5.8600,5.8600,5.8600,5.8600,325,5.8600,5.8600,5.8600,5.8600,304,5.8400,5.8600,5.8400,5.8600,5499,5.8500,5.8500,5.8400,5.8400,411,5.8400,5.8400,5.8400,5.8400,230,5.8400,5.8400,5.8400,5.8400,100,5.8450,5.8450,5.8400,5.8400,2426,5.8600
5.8700,5.8700,5.8700,5.8700,110,5.8600,5.8800,5.8500,5.8500,5958,5.8600,5.8600,5.8600,5.8600,325,5.8600,5.8600,5.8600,5.8600,304,5.8400,5.8600,5.8400,5.8600,5499,5.8500,5.8500,5.8400,5.8400,411,5.8400,5.8400,5.8400,5.8400,230,5.8400,5.8400,5.8400,5.8400,100,5.8450,5.8450,5.8400,5.8400,2426,5.8500,5.8500,5.8450,5.8450,1016,5.8700
5.8600,5.8800,5.8500,5.8500,5958,5.8600,5.8600,5.8600,5.8600,325,5.8600,5.8600,5.8600,5.8600,304,5.8400,5.8600,5.8400,5.8600,5499,5.8500,5.8500,5.8400,5.8400,411,5.8400,5.8400,5.8400,5.8400,230,5.8400,5.8400,5.8400,5.8400,100,5.8450,5.8450,5.8400,5.8400,2426,5.8500,5.8500,5.8450,5.8450,1016,5.8500,5.8500,5.8500,5.8500,505,5.8700
5.8600,5.8600,5.8600,5.8600,325,5.8600,5.8600,5.8600,5.8600,304,5.8400,5.8600,5.8400,5.8600,5499,5.8500,5.8500,5.8400,5.8400,411,5.8400,5.8400,5.8400,5.8400,230,5.8400,5.8400,5.8400,5.8400,100,5.8450,5.8450,5.8400,5.8400,2426,5.8500,5.8500,5.8450,5.8450,1016,5.8500,5.8500,5.8500,5.8500,505,5.8500,5.8500,5.8500,5.8500,1125,5.8600
5.8600,5.8600,5.8600,5.8600,304,5.8400,5.8600,5.8400,5.8600,5499,5.8500,5.8500,5.8400,5.8400,411,5.8400,5.8400,5.8400,5.8400,230,5.8400,5.8400,5.8400,5.8400,100,5.8450,5.8450,5.8400,5.8400,2426,5.8500,5.8500,5.8450,5.8450,1016,5.8500,5.8500,5.8500,5.8500,505,5.8500,5.8500,5.8500,5.8500,1125,5.8500,5.8500,5.8500,5.8500,699,5.8600
5.8400,5.8600,5.8400,5.8600,5499,5.8500,5.8500,5.8400,5.8400,411,5.8400,5.8400,5.8400,5.8400,230,5.8400,5.8400,5.8400,5.8400,100,5.8450,5.8450,5.8400,5.8400,2426,5.8500,5.8500,5.8450,5.8450,1016,5.8500,5.8500,5.8500,5.8500,505,5.8500,5.8500,5.8500,5.8500,1125,5.8500,5.8500,5.8500,5.8500,699,5.8500,5.8500,5.8400,5.8500,1300,5.8600
5.8500,5.8500,5.8400,5.8400,411,5.8400,5.8400,5.8400,5.8400,230,5.8400,5.8400,5.8400,5.8400,100,5.8450,5.8450,5.8400,5.8400,2426,5.8500,5.8500,5.8450,5.8450,1016,5.8500,5.8500,5.8500,5.8500,505,5.8500,5.8500,5.8500,5.8500,1125,5.8500,5.8500,5.8500,5.8500,699,5.8500,5.8500,5.8400,5.8500,1300,5.8500,5.8500,5.8500,5.8500,506,5.8400
5.8400,5.8400,5.8400,5.8400,230,5.8400,5.8400,5.8400,5.8400,100,5.8450,5.8450,5.8400,5.8400,2426,5.8500,5.8500,5.8450,5.8450,1016,5.8500,5.8500,5.8500,5.8500,505,5.8500,5.8500,5.8500,5.8500,1125,5.8500,5.8500,5.8500,5.8500,699,5.8500,5.8500,5.8400,5.8500,1300,5.8500,5.8500,5.8500,5.8500,506,5.8500,5.8500,5.8400,5.8400,1961,5.8500
