open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
9.4200,9.4200,9.4200,9.4200,110,9.4100,9.4100,9.4100,9.4100,270,9.4400,9.4400,9.4400,9.4400,221,9.4400,9.4400,9.4400,9.4400,290,9.3500,9.3500,9.3500,9.3500,200,9.3500,9.3500,9.3500,9.3500,250,9.3000,9.3000,9.3000,9.3000,500,9.3200,9.3200,9.3200,9.3200,1001,9.3000,9.3200,9.3000,9.3200,301,9.2800,9.2800,9.2800,9.2800,300,9.4100
9.4100,9.4100,9.4100,9.4100,270,9.4400,9.4400,9.4400,9.4400,221,9.4400,9.4400,9.4400,9.4400,290,9.3500,9.3500,9.3500,9.3500,200,9.3500,9.3500,9.3500,9.3500,250,9.3000,9.3000,9.3000,9.3000,500,9.3200,9.3200,9.3200,9.3200,1001,9.3000,9.3200,9.3000,9.3200,301,9.2800,9.2800,9.2800,9.2800,300,9.2800,9.2800,9.2800,9.2800,227,9.4200
9.4400,9.4400,9.4400,9.4400,221,9.4400,9.4400,9.4400,9.4400,290,9.3500,9.3500,9.3500,9.3500,200,9.3500,9.3500,9.3500,9.3500,250,9.3000,9.3000,9.3000,9.3000,500,9.3200,9.3200,9.3200,9.3200,1001,9.3000,9.3200,9.3000,9.3200,301,9.2800,9.2800,9.2800,9.2800,300,9.2800,9.2800,9.2800,9.2800,227,9.2800,9.2800,9.2800,9.2800,300,9.4100
9.4400,9.4400,9.4400,9.4400,290,9.3500,9.3500,9.3500,9.3500,200,9.3500,9.3500,9.3500,9.3500,250,9.3000,9.3000,9.3000,9.3000,500,9.3200,9.3200,9.3200,9.3200,1001,9.3000,9.3200,9.3000,9.3200,301,9.2800,9.2800,9.2800,9.2800,300,9.2800,9.2800,9.2800,9.2800,227,9.2800,9.2800,9.2800,9.2800,300,9.3100,9.3200,9.3100,9.3200,10800,9.4400
9.3500,9.3500,9.3500,9.3500,200,9.3500,9.3500,9.3500,9.3500,250,9.3000,9.3000,9.3000,9.3000,500,9.3200,9.3200,9.3200,9.3200,1001,9.3000,9.3200,9.3000,9.3200,301,9.2800,9.2800,9.2800,9.2800,300,9.2800,9.2800,9.2800,9.2800,227,9.2800,9.2800,9.2800,9.2800,300,9.3100,9.3200,9.3100,9.3200,10800,9.3100,9.3100,9.3100,9.3100,100,9.4400
9.3500,9.3500,9.3500,9.3500,250,9.3000,9.3000,9.3000,9.3000,500,9.3200,9.3200,9.3200,9.3200,1001,9.3000,9.3200,9.3000,9.3200,301,9.2800,9.2800,9.2800,9.2800,300,9.2800,9.2800,9.2800,9.2800,227,9.2800,9.2800,9.2800,9.2800,300,9.3100,9.3200,9.3100,9.3200,10800,9.3100,9.3100,9.3100,9.3100,100,9.2800,9.2800,9.2800,9.2800,103,9.3500
9.3000,9.3000,9.3000,9.3000,500,9.3200,9.3200,9.3200,9.3200,1001,9.3000,9.3200,9.3000,9.3200,301,9.2800,9.2800,9.2800,9.2800,300,9.2800,9.2800,9.2800,9.2800,227,9.2800,9.2800,9.2800,9.2800,300,9.3100,9.3200,9.3100,9.3200,10800,9.3100,9.3100,9.3100,9.3100,100,9.2800,9.2800,9.2800,9.2800,103,9.3100,9.3100,9.3100,9.3100,138,9.3500
9.3200,9.3200,9.3200,9.3200,1001,9.3000,9.3200,9.3000,9.3200,301,9.2800,9.2800,9.2800,9.2800,300,9.2800,9.2800,9.2800,9.2800,227,9.2800,9.2800,9.2800,9.2800,300,9.3100,9.3200,9.3100,9.3200,10800,9.3100,9.3100,9.3100,9.3100,100,9.2800,9.2800,9.2800,9.2800,103,9.3100,9.3100,9.3100,9.3100,138,9.2800,9.2800,9.2800,9.2800,500,9.3000
9.3000,9.3200,9.3000,9.3200,301,9.2800,9.2800,9.2800,9.2800,300,9.2800,9.2800,9.2800,9.2800,227,9.2800,9.2800,9.2800,9.2800,300,9.3100,9.3200,9.3100,9.3200,10800,9.3100,9.3100,9.3100,9.3100,100,9.2800,9.2800,9.2800,9.2800,103,9.3100,9.3100,9.3100,9.3100,138,9.2800,9.2800,9.2800,9.2800,500,9.2800,9.2800,9.2800,9.2800,818,9.3200
9.2800,9.2800,9.2800,9.2800,300,9.2800,9.2800,9.2800,9.2800,227,9.2800,9.2800,9.2800,9.2800,300,9.3100,9.3200,9.3100,9.3200,10800,9.3100,9.3100,9.3100,9.3100,100,9.2800,9.2800,9.2800,9.2800,103,9.3100,9.3100,9.3100,9.3100,138,9.2800,9.2800,9.2800,9.2800,500,9.2800,9.2800,9.2800,9.2800,818,9.3200,9.3200,9.3200,9.3200,283,9.3000
9.2800,9.2800,9.2800,9.2800,227,9.2800,9.2800,9.2800,9.2800,300,9.3100,9.3200,9.3100,9.3200,10800,9.3100,9.3100,9.3100,9.3100,100,9.2800,9.2800,9.2800,9.2800,103,9.3100,9.3100,9.3100,9.3100,138,9.2800,9.2800,9.2800,9.2800,500,9.2800,9.2800,9.2800,9.2800,818,9.3200,9.3200,9.3200,9.3200,283,9.2800,9.2800,9.2800,9.2800,400,9.2800
9.2800,9.2800,9.2800,9.2800,300,9.3100,9.3200,9.3100,9.3200,10800,9.3100,9.3100,9.3100,9.3100,100,9.2800,9.2800,9.2800,9.2800,103,9.3100,9.3100,9.3100,9.3100,138,9.2800,9.2800,9.2800,9.2800,500,9.2800,9.2800,9.2800,9.2800,818,9.3200,9.3200,9.3200,9.3200,283,9.2800,9.2800,9.2800,9.2800,400,9.2800,9.2800,9.2800,9.2800,256,9.2800
9.3100,9.3200,9.3100,9.3200,10800,9.3100,9.3100,9.3100,9.3100,100,9.2800,9.2800,9.2800,9.2800,103,9.3100,9.3100,9.3100,9.3100,138,9.2800,9.2800,9.2800,9.2800,500,9.2800,9.2800,9.2800,9.2800,818,9.3200,9.3200,9.3200,9.3200,283,9.2800,9.2800,9.2800,9.2800,400,9.2800,9.2800,9.2800,9.2800,256,9.3200,9.3200,9.3200,9.3200,170,9.2800
