open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
19.9800,19.9800,19.9800,19.9800,683,20.1000,20.1000,20.1000,20.1000,245,20.0600,20.0600,20.0600,20.0600,200,20.0400,20.0400,20.0400,20.0400,217,20.0600,20.0600,20.0600,20.0600,435,20.0500,20.0500,20.0500,20.0500,100,20.0500,20.1000,20.0500,20.1000,400,20.0999,20.0999,20.0999,20.0999,450,20.0000,20.0000,20.0000,20.0000,100,20.0999,20.0999,20.0999,20.0999,200,19.9600
20.1000,20.1000,20.1000,20.1000,245,20.0600,20.0600,20.0600,20.0600,200,20.0400,20.0400,20.0400,20.0400,217,20.0600,20.0600,20.0600,20.0600,435,20.0500,20.0500,20.0500,20.0500,100,20.0500,20.1000,20.0500,20.1000,400,20.0999,20.0999,20.0999,20.0999,450,20.0000,20.0000,20.0000,20.0000,100,20.0999,20.0999,20.0999,20.0999,200,20.0000,20.0000,20.0000,20.0000,110,19.9800
20.0600,20.0600,20.0600,20.0600,200,20.0400,20.0400,20.0400,20.0400,217,20.0600,20.0600,20.0600,20.0600,435,20.0500,20.0500,20.0500,20.0500,100,20.0500,20.1000,20.0500,20.1000,400,20.0999,20.0999,20.0999,20.0999,450,20.0000,20.0000,20.0000,20.0000,100,20.0999,20.0999,20.0999,20.0999,200,20.0000,20.0000,20.0000,20.0000,110,20.0000,20.0000,20.0000,20.0000,140,20.1000
20.0400,20.0400,20.0400,20.0400,217,20.0600,20.0600,20.0600,20.0600,435,20.0500,20.0500,20.0500,20.0500,100,20.0500,20.1000,20.0500,20.1000,400,20.0999,20.0999,20.0999,20.0999,450,20.0000,20.0000,20.0000,20.0000,100,20.0999,20.0999,20.0999,20.0999,200,20.0000,20.0000,20.0000,20.0000,110,20.0000,20.0000,20.0000,20.0000,140,19.9600,19.9600,19.9500,19.9500,1486,20.0600
20.0600,20.0600,20.0600,20.0600,435,20.0500,20.0500,20.0500,20.0500,100,20.0500,20.1000,20.0500,20.1000,400,20.0999,20.0999,20.0999,20.0999,450,20.0000,20.0000,20.0000,20.0000,100,20.0999,20.0999,20.0999,20.0999,200,20.0000,20.0000,20.0000,20.0000,110,20.0000,20.0000,20.0000,20.0000,140,19.9600,19.9600,19.9500,19.9500,1486,20.0000,20.0000,19.9900,19.9900,2508,20.0400
20.0500,20.0500,20.0500,20.0500,100,20.0500,20.1000,20.0500,20.1000,400,20.0999,20.0999,20.0999,20.0999,450,20.0000,20.0000,20.0000,20.0000,100,20.0999,20.0999,20.0999,20.0999,200,20.0000,20.0000,20.0000,20.0000,110,20.0000,20.0000,20.0000,20.0000,140,19.9600,19.9600,19.9500,19.9500,1486,20.0000,20.0000,19.9900,19.9900,2508,20.0200,20.0200,20.0200,20.0200,279,20.0600
20.0500,20.1000,20.0500,20.1000,400,20.0999,20.0999,20.0999,20.0999,450,20.0000,20.0000,20.0000,20.0000,100,20.0999,20.0999,20.0999,20.0999,200,20.0000,20.0000,20.0000,20.0000,110,20.0000,20.0000,20.0000,20.0000,140,19.9600,19.9600,19.9500,19.9500,1486,20.0000,20.0000,19.9900,19.9900,2508,20.0200,20.0200,20.0200,20.0200,279,20.0100,20.0100,20.0100,20.0100,739,20.0500
20.0999,20.0999,20.0999,20.0999,450,20.0000,20.0000,20.0000,20.0000,100,20.0999,20.0999,20.0999,20.0999,200,20.0000,20.0000,20.0000,20.0000,110,20.0000,20.0000,20.0000,20.0000,140,19.9600,19.9600,19.9500,19.9500,1486,20.0000,20.0000,19.9900,19.9900,2508,20.0200,20.0200,20.0200,20.0200,279,20.0100,20.0100,20.0100,20.0100,739,20.0200,20.0200,20.0100,20.0100,2861,20.0500
20.0000,20.0000,20.0000,20.0000,100,20.0999,20.0999,20.0999,20.0999,200,20.0000,20.0000,20.0000,20.0000,110,20.0000,20.0000,20.0000,20.0000,140,19.9600,19.9600,19.9500,19.9500,1486,20.0000,20.0000,19.9900,19.9900,2508,20.0200,20.0200,20.0200,20.0200,279,20.0100,20.0100,20.0100,20.0100,739,20.0200,20.0200,20.0100,20.0100,2861,20.0200,20.0200,20.0200,20.0200,125,20.0999
20.0999,20.0999,20.0999,20.0999,200,20.0000,20.0000,20.0000,20.0000,110,20.0000,20.0000,20.0000,20.0000,140,19.9600,19.9600,19.9500,19.9500,1486,20.0000,20.0000,19.9900,19.9900,2508,20.0200,20.0200,20.0200,20.0200,279,20.0100,20.0100,20.0100,20.0100,739,20.0200,20.0200,20.0100,20.0100,2861,20.0200,20.0200,20.0200,20.0200,125,20.0100,20.0200,20.0100,20.0200,1900,20.0000
20.0000,20.0000,20.0000,20.0000,110,20.0000,20.0000,20.0000,20.0000,140,19.9600,19.9600,19.9500,19.9500,1486,20.0000,20.0000,19.9900,19.9900,2508,20.0200,20.0200,20.0200,20.0200,279,20.0100,20.0100,20.0100,20.0100,739,20.0200,20.0200,20.0100,20.0100,2861,20.0200,20.0200,20.0200,20.0200,125,20.0100,20.0200,20.0100,20.0200,1900,20.0000,20.0000,20.0000,20.0000,100,20.0999
20.0000,20.0000,20.0000,20.0000,140,19.9600,19.9600,19.9500,19.9500,1486,20.0000,20.0000,19.9900,19.9900,2508,20.0200,20.0200,20.0200,20.0200,279,20.0100,20.0100,20.0100,20.0100,739,20.0200,20.0200,20.0100,20.0100,2861,20.0200,20.0200,20.0200,20.0200,125,20.0100,20.0200,20.0100,20.0200,1900,20.0000,20.0000,20.0000,20.0000,100,20.0300,20.0300,20.0300,20.0300,202,20.0000
19.9600,19.9600,19.9500,19.9500,1486,20.0000,20.0000,19.9900,19.9900,2508,20.0200,20.0200,20.0200,20.0200,279,20.0100,20.0100,20.0100,20.0100,739,20.0200,20.0200,20.0100,20.0100,2861,20.0200,20.0200,20.0200,20.0200,125,20.0100,20.0200,20.0100,20.0200,1900,20.0000,20.0000,20.0000,20.0000,100,20.0300,20.0300,20.0300,20.0300,202,20.0200,20.0200,20.0200,20.0200,1007,20.0000
