open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
5.7100,5.7100,5.7100,5.7100,100,5.7100,5.7100,5.7100,5.7100,379,5.7100,5.7100,5.7100,5.7100,170,5.7500,5.7500,5.7500,5.7500,300,5.7000,5.7000,5.7000,5.7000,1265,5.6900,5.6900,5.6900,5.6900,2428,5.6900,5.6900,5.6900,5.6900,240,5.6800,5.6800,5.6800,5.6800,1600,5.6000,5.6000,5.6000,5.6000,504,5.6800,5.6800,5.6800,5.6800,3000,5.7100
5.7100,5.7100,5.7100,5.7100,379,5.7100,5.7100,5.7100,5.7100,170,5.7500,5.7500,5.7500,5.7500,300,5.7000,5.7000,5.7000,5.7000,1265,5.6900,5.6900,5.6900,5.6900,2428,5.6900,5.6900,5.6900,5.6900,240,5.6800,5.6800,5.6800,5.6800,1600,5.6000,5.6000,5.6000,5.6000,504,5.6800,5.6800,5.6800,5.6800,3000,5.6800,5.6800,5.6800,5.6800,1000,5.7100
5.7100,5.7100,5.7100,5.7100,170,5.7500,5.7500,5.7500,5.7500,300,5.7000,5.7000,5.7000,5.7000,1265,5.6900,5.6900,5.6900,5.6900,2428,5.6900,5.6900,5.6900,5.6900,240,5.6800,5.6800,5.6800,5.6800,1600,5.6000,5.6000,5.6000,5.6000,504,5.6800,5.6800,5.6800,5.6800,3000,5.6800,5.6800,5.6800,5.6800,1000,5.6800,5.6800,5.6800,5.6800,2500,5.7100
5.7500,5.7500,5.7500,5.7500,300,5.7000,5.7000,5.7000,5.7000,1265,5.6900,5.6900,5.6900,5.6900,2428,5.6900,5.6900,5.6900,5.6900,240,5.6800,5.6800,5.6800,5.6800,1600,5.6000,5.6000,5.6000,5.6000,504,5.6800,5.6800,5.6800,5.6800,3000,5.6800,5.6800,5.6800,5.6800,1000,5.6800,5.6800,5.6800,5.6800,2500,5.6800,5.6800,5.6800,5.6800,11000,5.7100
5.7000,5.7000,5.7000,5.7000,1265,5.6900,5.6900,5.6900,5.6900,2428,5.6900,5.6900,5.6900,5.6900,240,5.6800,5.6800,5.6800,5.6800,1600,5.6000,5.6000,5.6000,5.6000,504,5.6800,5.6800,5.6800,5.6800,3000,5.6800,5.6800,5.6800,5.6800,1000,5.6800,5.6800,5.6800,5.6800,2500,5.6800,5.6800,5.6800,5.6800,11000,5.6800,5.6800,5.6800,5.6800,500,5.7500
5.6900,5.6900,5.6900,5.6900,2428,5.6900,5.6900,5.6900,5.6900,240,5.6800,5.6800,5.6800,5.6800,1600,5.6000,5.6000,5.6000,5.6000,504,5.6800,5.6800,5.6800,5.6800,3000,5.6800,5.6800,5.6800,5.6800,1000,5.6800,5.6800,5.6800,5.6800,2500,5.6800,5.6800,5.6800,5.6800,11000,5.6800,5.6800,5.6800,5.6800,500,5.6800,5.6800,5.6800,5.6800,1500,5.7000
5.6900,5.6900,5.6900,5.6900,240,5.6800,5.6800,5.6800,5.6800,1600,5.6000,5.6000,5.6000,5.6000,504,5.6800,5.6800,5.6800,5.6800,3000,5.6800,5.6800,5.6800,5.6800,1000,5.6800,5.6800,5.6800,5.6800,2500,5.6800,5.6800,5.6800,5.6800,11000,5.6800,5.6800,5.6800,5.6800,500,5.6800,5.6800,5.6800,5.6800,1500,5.6800,5.6800,5.6800,5.6800,1555,5.6900
5.6800,5.6800,5.6800,5.6800,1600,5.6000,5.6000,5.6000,5.6000,504,5.6800,5.6800,5.6800,5.6800,3000,5.6800,5.6800,5.6800,5.6800,1000,5.6800,5.6800,5.6800,5.6800,2500,5.6800,5.6800,5.6800,5.6800,11000,5.6800,5.6800,5.6800,5.6800,500,5.6800,5.6800,5.6800,5.6800,1500,5.6800,5.6800,5.6800,5.6800,1555,5.6800,5.6800,5.6800,5.6800,1500,5.6900
5.6000,5.6000,5.6000,5.6000,504,5.6800,5.6800,5.6800,5.6800,3000,5.6800,5.6800,5.6800,5.6800,1000,5.6800,5.6800,5.6800,5.6800,2500,5.6800,5.6800,5.6800,5.6800,11000,5.6800,5.6800,5.6800,5.6800,500,5.6800,5.6800,5.6800,5.6800,1500,5.6800,5.6800,5.6800,5.6800,1555,5.6800,5.6800,5.6800,5.6800,1500,5.6800,5.6800,5.6800,5.6800,1000,5.6800
5.6800,5.6800,5.6800,5.6800,3000,5.6800,5.6800,5.6800,5.6800,1000,5.6800,5.6800,5.6800,5.6800,2500,5.6800,5.6800,5.6800,5.6800,11000,5.6800,5.6800,5.6800,5.6800,500,5.6800,5.6800,5.6800,5.6800,1500,5.6800,5.6800,5.6800,5.6800,1555,5.6800,5.6800,5.6800,5.6800,1500,5.6800,5.6800,5.6800,5.6800,1000,5.6800,5.6800,5.6800,5.6800,6500,5.6000
