open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
0.5600,0.5600,0.5600,0.5600,800,0.5600,0.5600,0.5600,0.5600,200,0.5700,0.5700,0.5700,0.5700,244,0.5700,0.5700,0.5580,0.5580,3757,0.5537,0.5537,0.5537,0.5537,700,0.5537,0.5537,0.5537,0.5537,205,0.5536,0.5541,0.5536,0.5536,5000,0.5700,0.5700,0.5700,0.5700,100,0.5536,0.5536,0.5536,0.5536,10000,0.5727,0.5727,0.5727,0.5727,286,0.5700
0.5600,0.5600,0.5600,0.5600,200,0.5700,0.5700,0.5700,0.5700,244,0.5700,0.5700,0.5580,0.5580,3757,0.5537,0.5537,0.5537,0.5537,700,0.5537,0.5537,0.5537,0.5537,205,0.5536,0.5541,0.5536,0.5536,5000,0.5700,0.5700,0.5700,0.5700,100,0.5536,0.5536,0.5536,0.5536,10000,0.5727,0.5727,0.5727,0.5727,286,0.5750,0.5750,0.5727,0.5727,11000,0.5600
0.5700,0.5700,0.5700,0.5700,244,0.5700,0.5700,0.5580,0.5580,3757,0.5537,0.5537,0.5537,0.5537,700,0.5537,0.5537,0.5537,0.5537,205,0.5536,0.5541,0.5536,0.5536,5000,0.5700,0.5700,0.5700,0.5700,100,0.5536,0.5536,0.5536,0.5536,10000,0.5727,0.5727,0.5727,0.5727,286,0.5750,0.5750,0.5727,0.5727,11000,0.5790,0.5790,0.5790,0.5790,3000,0.5600
0.5700,0.5700,0.5580,0.5580,3757,0.5537,0.5537,0.5537,0.5537,700,0.5537,0.5537,0.5537,0.5537,205,0.5536,0.5541,0.5536,0.5536,5000,0.5700,0.5700,0.5700,0.5700,100,0.5536,0.5536,0.5536,0.5536,10000,0.5727,0.5727,0.5727,0.5727,286,0.5750,0.5750,0.5727,0.5727,11000,0.5790,0.5790,0.5790,0.5790,3000,0.5600,0.5600,0.5600,0.5600,4000,0.5700
0.5537,0.5537,0.5537,0.5537,700,0.5537,0.5537,0.5537,0.5537,205,0.5536,0.5541,0.5536,0.5536,5000,0.5700,0.5700,0.5700,0.5700,100,0.5536,0.5536,0.5536,0.5536,10000,0.5727,0.5727,0.5727,0.5727,286,0.5750,0.5750,0.5727,0.5727,11000,0.5790,0.5790,0.5790,0.5790,3000,0.5600,0.5600,0.5600,0.5600,4000,0.5600,0.5600,0.5600,0.5600,2500,0.5700
0.5537,0.5537,0.5537,0.5537,205,0.5536,0.5541,0.5536,0.5536,5000,0.5700,0.5700,0.5700,0.5700,100,0.5536,0.5536,0.5536,0.5536,10000,0.5727,0.5727,0.5727,0.5727,286,0.5750,0.5750,0.5727,0.5727,11000,0.5790,0.5790,0.5790,0.5790,3000,0.5600,0.5600,0.5600,0.5600,4000,0.5600,0.5600,0.5600,0.5600,2500,0.5600,0.5600,0.5600,0.5600,300,0.5537
0.5536,0.5541,0.5536,0.5536,5000,0.5700,0.5700,0.5700,0.5700,100,0.5536,0.5536,0.5536,0.5536,10000,0.5727,0.5727,0.5727,0.5727,286,0.5750,0.5750,0.5727,0.5727,11000,0.5790,0.5790,0.5790,0.5790,3000,0.5600,0.5600,0.5600,0.5600,4000,0.5600,0.5600,0.5600,0.5600,2500,0.5600,0.5600,0.5600,0.5600,300,0.5600,0.5600,0.5600,0.5600,10000,0.5537
0.5700,0.5700,0.5700,0.5700,100,0.5536,0.5536,0.5536,0.5536,10000,0.5727,0.5727,0.5727,0.5727,286,0.5750,0.5750,0.5727,0.5727,11000,0.5790,0.5790,0.5790,0.5790,3000,0.5600,0.5600,0.5600,0.5600,4000,0.5600,0.5600,0.5600,0.5600,2500,0.5600,0.5600,0.5600,0.5600,300,0.5600,0.5600,0.5600,0.5600,10000,0.5600,0.5600,0.5541,0.5541,5250,0.5536
0.5536,0.5536,0.5536,0.5536,10000,0.5727,0.5727,0.5727,0.5727,286,0.5750,0.5750,0.5727,0.5727,11000,0.5790,0.5790,0.5790,0.5790,3000,0.5600,0.5600,0.5600,0.5600,4000,0.5600,0.5600,0.5600,0.5600,2500,0.5600,0.5600,0.5600,0.5600,300,0.5600,0.5600,0.5600,0.5600,10000,0.5600,0.5600,0.5541,0.5541,5250,0.5600,0.5600,0.5600,0.5600,47141,0.5700
0.5727,0.5727,0.5727,0.5727,286,0.5750,0.5750,0.5727,0.5727,11000,0.5790,0.5790,0.5790,0.5790,3000,0.5600,0.5600,0.5600,0.5600,4000,0.5600,0.5600,0.5600,0.5600,2500,0.5600,0.5600,0.5600,0.5600,300,0.5600,0.5600,0.5600,0.5600,10000,0.5600,0.5600,0.5541,0.5541,5250,0.5600,0.5600,0.5600,0.5600,47141,0.5601,0.5601,0.5601,0.5601,30000,0.5536
0.5750,0.5750,0.5727,0.5727,11000,0.5790,0.5790,0.5790,0.5790,3000,0.5600,0.5600,0.5600,0.5600,4000,0.5600,0.5600,0.5600,0.5600,2500,0.5600,0.5600,0.5600,0.5600,300,0.5600,0.5600,0.5600,0.5600,10000,0.5600,0.5600,0.5541,0.5541,5250,0.5600,0.5600,0.5600,0.5600,47141,0.5601,0.5601,0.5601,0.5601,30000,0.5600,0.5600,0.5600,0.5600,700,0.5727
0.5790,0.5790,0.5790,0.5790,3000,0.5600,0.5600,0.5600,0.5600,4000,0.5600,0.5600,0.5600,0.5600,2500,0.5600,0.5600,0.5600,0.5600,300,0.5600,0.5600,0.5600,0.5600,10000,0.5600,0.5600,0.5541,0.5541,5250,0.5600,0.5600,0.5600,0.5600,47141,0.5601,0.5601,0.5601,0.5601,30000,0.5600,0.5600,0.5600,0.5600,700,0.5601,0.5601,0.5600,0.5600,9300,0.5750
0.5600,0.5600,0.5600,0.5600,4000,0.5600,0.5600,0.5600,0.5600,2500,0.5600,0.5600,0.5600,0.5600,300,0.5600,0.5600,0.5600,0.5600,10000,0.5600,0.5600,0.5541,0.5541,5250,0.5600,0.5600,0.5600,0.5600,47141,0.5601,0.5601,0.5601,0.5601,30000,0.5600,0.5600,0.5600,0.5600,700,0.5601,0.5601,0.5600,0.5600,9300,0.5751,0.5751,0.5680,0.5680,2599,0.5790
0.5600,0.5600,0.5600,0.5600,2500,0.5600,0.5600,0.5600,0.5600,300,0.5600,0.5600,0.5600,0.5600,10000,0.5600,0.5600,0.5541,0.5541,5250,0.5600,0.5600,0.5600,0.5600,47141,0.5601,0.5601,0.5601,0.5601,30000,0.5600,0.5600,0.5600,0.5600,700,0.5601,0.5601,0.5600,0.5600,9300,0.5751,0.5751,0.5680,0.5680,2599,0.5751,0.5751,0.5750,0.5750,300,0.5600
