open1,high1,low1,close1,volume1,open2,high2,low2,close2,volume2,open3,high3,low3,close3,volume3,open4,high4,low4,close4,volume4,open5,high5,low5,close5,volume5,open6,high6,low6,close6,volume6,open7,high7,low7,close7,volume7,open8,high8,low8,close8,volume8,open9,high9,low9,close9,volume9,open10,high10,low10,close10,volume10,target
0.6800,0.7000,0.6760,0.6851,11204,0.6800,0.6800,0.6800,0.6800,542,0.6901,0.6901,0.6800,0.6800,29227,0.6900,0.6900,0.6900,0.6900,15100,0.6900,0.6901,0.6900,0.6901,18253,0.6900,0.6900,0.6900,0.6900,6000,0.6800,0.6900,0.6800,0.6900,25200,0.6800,0.6800,0.6780,0.6800,8526,0.6770,0.6770,0.6770,0.6770,1071,0.6770,0.6770,0.6770,0.6770,5697,0.7000
0.6800,0.6800,0.6800,0.6800,542,0.6901,0.6901,0.6800,0.6800,29227,0.6900,0.6900,0.6900,0.6900,15100,0.6900,0.6901,0.6900,0.6901,18253,0.6900,0.6900,0.6900,0.6900,6000,0.6800,0.6900,0.6800,0.6900,25200,0.6800,0.6800,0.6780,0.6800,8526,0.6770,0.6770,0.6770,0.6770,1071,0.6770,0.6770,0.6770,0.6770,5697,0.6770,0.6770,0.6760,0.6770,3300,0.6800
0.6901,0.6901,0.6800,0.6800,29227,0.6900,0.6900,0.6900,0.6900,15100,0.6900,0.6901,0.6900,0.6901,18253,0.6900,0.6900,0.6900,0.6900,6000,0.6800,0.6900,0.6800,0.6900,25200,0.6800,0.6800,0.6780,0.6800,8526,0.6770,0.6770,0.6770,0.6770,1071,0.6770,0.6770,0.6770,0.6770,5697,0.6770,0.6770,0.6760,0.6770,3300,0.6770,0.6770,0.6770,0.6770,3301,0.6800
0.6900,0.6900,0.6900,0.6900,15100,0.6900,0.6901,0.6900,0.6901,18253,0.6900,0.6900,0.6900,0.6900,6000,0.6800,0.6900,0.6800,0.6900,25200,0.6800,0.6800,0.6780,0.6800,8526,0.6770,0.6770,0.6770,0.6770,1071,0.6770,0.6770,0.6770,0.6770,5697,0.6770,0.6770,0.6760,0.6770,3300,0.6770,0.6770,0.6770,0.6770,3301,0.6770,0.6770,0.6770,0.6770,1320,0.6901
0.6900,0.6901,0.6900,0.6901,18253,0.6900,0.6900,0.6900,0.6900,6000,0.6800,0.6900,0.6800,0.6900,25200,0.6800,0.6800,0.6780,0.6800,8526,0.6770,0.6770,0.6770,0.6770,1071,0.6770,0.6770,0.6770,0.6770,5697,0.6770,0.6770,0.6760,0.6770,3300,0.6770,0.6770,0.6770,0.6770,3301,0.6770,0.6770,0.6770,0.6770,1320,0.6770,0.6770,0.6760,0.6760,8500,0.6900
0.6900,0.6900,0.6900,0.6900,6000,0.6800,0.6900,0.6800,0.6900,25200,0.6800,0.6800,0.6780,0.6800,8526,0.6770,0.6770,0.6770,0.6770,1071,0.6770,0.6770,0.6770,0.6770,5697,0.6770,0.6770,0.6760,0.6770,3300,0.6770,0.6770,0.6770,0.6770,3301,0.6770,0.6770,0.6770,0.6770,1320,0.6770,0.6770,0.6760,0.6760,8500,0.6760,0.6760,0.6760,0.6760,660,0.6900
0.6800,0.6900,0.6800,0.6900,25200,0.6800,0.6800,0.6780,0.6800,8526,0.6770,0.6770,0.6770,0.6770,1071,0.6770,0.6770,0.6770,0.6770,5697,0.6770,0.6770,0.6760,0.6770,3300,0.6770,0.6770,0.6770,0.6770,3301,0.6770,0.6770,0.6770,0.6770,1320,0.6770,0.6770,0.6760,0.6760,8500,0.6760,0.6760,0.6760,0.6760,660,0.6760,0.6760,0.6760,0.6760,200,0.6900
0.6800,0.6800,0.6780,0.6800,8526,0.6770,0.6770,0.6770,0.6770,1071,0.6770,0.6770,0.6770,0.6770,5697,0.6770,0.6770,0.6760,0.6770,3300,0.6770,0.6770,0.6770,0.6770,3301,0.6770,0.6770,0.6770,0.6770,1320,0.6770,0.6770,0.6760,0.6760,8500,0.6760,0.6760,0.6760,0.6760,660,0.6760,0.6760,0.6760,0.6760,200,0.6760,0.6760,0.6760,0.6760,1100,0.6800
0.6770,0.6770,0.6770,0.6770,1071,0.6770,0.6770,0.6770,0.6770,5697,0.6770,0.6770,0.6760,0.6770,3300,0.6770,0.6770,0.6770,0.6770,3301,0.6770,0.6770,0.6770,0.6770,1320,0.6770,0.6770,0.6760,0.6760,8500,0.6760,0.6760,0.6760,0.6760,660,0.6760,0.6760,0.6760,0.6760,200,0.6760,0.6760,0.6760,0.6760,1100,0.6760,0.6760,0.6760,0.6760,2000,0.6800
0.6770,0.6770,0.6770,0.6770,5697,0.6770,0.6770,0.6760,0.6770,3300,0.6770,0.6770,0.6770,0.6770,3301,0.6770,0.6770,0.6770,0.6770,1320,0.6770,0.6770,0.6760,0.6760,8500,0.6760,0.6760,0.6760,0.6760,660,0.6760,0.6760,0.6760,0.6760,200,0.6760,0.6760,0.6760,0.6760,1100,0.6760,0.6760,0.6760,0.6760,2000,0.6766,0.6766,0.6766,0.6766,120,0.6770
0.6770,0.6770,0.6760,0.6770,3300,0.6770,0.6770,0.6770,0.6770,3301,0.6770,0.6770,0.6770,0.6770,1320,0.6770,0.6770,0.6760,0.6760,8500,0.6760,0.6760,0.6760,0.6760,660,0.6760,0.6760,0.6760,0.6760,200,0.6760,0.6760,0.6760,0.6760,1100,0.6760,0.6760,0.6760,0.6760,2000,0.6766,0.6766,0.6766,0.6766,120,0.6607,0.6770,0.6607,0.6770,1285,0.6770
0.6770,0.6770,0.6770,0.6770,3301,0.6770,0.6770,0.6770,0.6770,1320,0.6770,0.6770,0.6760,0.6760,8500,0.6760,0.6760,0.6760,0.6760,660,0.6760,0.6760,0.6760,0.6760,200,0.6760,0.6760,0.6760,0.6760,1100,0.6760,0.6760,0.6760,0.6760,2000,0.6766,0.6766,0.6766,0.6766,120,0.6607,0.6770,0.6607,0.6770,1285,0.6770,0.6770,0.6700,0.6700,2707,0.6770
0.6770,0.6770,0.6770,0.6770,1320,0.6770,0.6770,0.6760,0.6760,8500,0.6760,0.6760,0.6760,0.6760,660,0.6760,0.6760,0.6760,0.6760,200,0.6760,0.6760,0.6760,0.6760,1100,0.6760,0.6760,0.6760,0.6760,2000,0.6766,0.6766,0.6766,0.6766,120,0.6607,0.6770,0.6607,0.6770,1285,0.6770,0.6770,0.6700,0.6700,2707,0.6770,0.6770,0.6770,0.6770,300,0.6770
0.6770,0.6770,0.6760,0.6760,8500,0.6760,0.6760,0.6760,0.6760,660,0.6760,0.6760,0.6760,0.6760,200,0.6760,0.6760,0.6760,0.6760,1100,0.6760,0.6760,0.6760,0.6760,2000,0.6766,0.6766,0.6766,0.6766,120,0.6607,0.6770,0.6607,0.6770,1285,0.6770,0.6770,0.6700,0.6700,2707,0.6770,0.6770,0.6770,0.6770,300,0.6767,0.6770,0.6767,0.6770,12114,0.6770
0.6760,0.6760,0.6760,0.6760,660,0.6760,0.6760,0.6760,0.6760,200,0.6760,0.6760,0.6760,0.6760,1100,0.6760,0.6760,0.6760,0.6760,2000,0.6766,0.6766,0.6766,0.6766,120,0.6607,0.6770,0.6607,0.6770,1285,0.6770,0.6770,0.6700,0.6700,2707,0.6770,0.6770,0.6770,0.6770,300,0.6767,0.6770,0.6767,0.6770,12114,0.6765,0.6765,0.6765,0.6765,200,0.6770
0.6760,0.6760,0.6760,0.6760,200,0.6760,0.6760,0.6760,0.6760,1100,0.6760,0.6760,0.6760,0.6760,2000,0.6766,0.6766,0.6766,0.6766,120,0.6607,0.6770,0.6607,0.6770,1285,0.6770,0.6770,0.6700,0.6700,2707,0.6770,0.6770,0.6770,0.6770,300,0.6767,0.6770,0.6767,0.6770,12114,0.6765,0.6765,0.6765,0.6765,200,0.6765,0.6765,0.6765,0.6765,1000,0.6760
0.6760,0.6760,0.6760,0.6760,1100,0.6760,0.6760,0.6760,0.6760,2000,0.6766,0.6766,0.6766,0.6766,120,0.6607,0.6770,0.6607,0.6770,1285,0.6770,0.6770,0.6700,0.6700,2707,0.6770,0.6770,0.6770,0.6770,300,0.6767,0.6770,0.6767,0.6770,12114,0.6765,0.6765,0.6765,0.6765,200,0.6765,0.6765,0.6765,0.6765,1000,0.6700,0.6700,0.6700,0.6700,7185,0.6760
0.6760,0.6760,0.6760,0.6760,2000,0.6766,0.6766,0.6766,0.6766,120,0.6607,0.6770,0.6607,0.6770,1285,0.6770,0.6770,0.6700,0.6700,2707,0.6770,0.6770,0.6770,0.6770,300,0.6767,0.6770,0.6767,0.6770,12114,0.6765,0.6765,0.6765,0.6765,200,0.6765,0.6765,0.6765,0.6765,1000,0.6700,0.6700,0.6700,0.6700,7185,0.6699,0.6700,0.6699,0.6700,200,0.6760
0.6766,0.6766,0.6766,0.6766,120,0.6607,0.6770,0.6607,0.6770,1285,0.6770,0.6770,0.6700,0.6700,2707,0.6770,0.6770,0.6770,0.6770,300,0.6767,0.6770,0.6767,0.6770,12114,0.6765,0.6765,0.6765,0.6765,200,0.6765,0.6765,0.6765,0.6765,1000,0.6700,0.6700,0.6700,0.6700,7185,0.6699,0.6700,0.6699,0.6700,200,0.6700,0.6700,0.6700,0.6700,2100,0.6760
